#Clients	Mean User CPU - WRITE-ONLY	Std User CPU - WRITE-ONLY	Mean System CPU - WRITE-ONLY	Std System CPU - WRITE-ONLY	Mean Net-Received - WRITE-ONLY	Std Net-Received - WRITE-ONLY	Mean Net-Sent - WRITE-ONLY	Std Net-Sent - WRITE-ONLY	Mean Context Switches - WRITE-ONLY	Std Context Switches - WRITE-ONLY
6	1.08214812134	0.0221515491196	1.68358692028	0.0183269693245	41.5721383514	0.377184465539	626.344901242	5.71676477842	1901.74808049	36.1085517193
30	1.69034276	0.0768989527399	2.42566010356	0.0954436631482	120.499290379	4.32236939084	1823.02664699	65.5243907479	2491.90772463	97.3270544389
48	1.69111799439	0.0407916963847	2.53436402427	0.0828867662851	120.766930741	0.799295422171	1825.40062822	12.7398477779	2306.71824499	37.4667441324
90	1.69108632479	0.013315688906	2.44273418803	0.0398916423151	122.153896234	0.541677426877	1842.8761894	8.9355820973	2329.59188547	40.6256545874
132	1.69876923077	0.0331910443022	2.45640940171	0.0182763572645	120.827938869	1.52513698915	1817.26007612	23.531581311	2343.26450513	27.5703899101
168	1.69671794872	0.0236241280435	2.42861452991	0.0383133385428	122.09562717	0.927638183973	1829.7302701	11.126357753	2294.56796239	43.2686945081
192	1.70341149006	0.025503207891	2.50385247908	0.0729637232782	122.015919933	0.689134544146	1819.77375751	10.07822771	2270.76055647	50.2467149645
252	1.76498447837	0.0205308530163	2.47587236902	0.0158725290051	128.239120608	0.596811568852	1846.40961579	1.01759045141	2369.74598606	44.6524455104
312	1.8184599204	0.0118943463969	2.49338915639	0.0149237458135	191.106894568	0.389219888485	1806.74124287	29.719978049	2482.98046866	11.8176298498
384	3.5332017094	2.51853503924	3.98171452991	2.1339587882	214.483894231	22.5588940488	1726.51352998	179.431515935	2299.99221624	159.296429298
