#Clients	Mean User CPU - WRITE-ONLY	Std User CPU - WRITE-ONLY	Mean System CPU - WRITE-ONLY	Std System CPU - WRITE-ONLY	Mean Net-Received - WRITE-ONLY	Std Net-Received - WRITE-ONLY	Mean Net-Sent - WRITE-ONLY	Std Net-Sent - WRITE-ONLY	Mean Context Switches - WRITE-ONLY	Std Context Switches - WRITE-ONLY
6	1.07932439756	0.031326387381	1.68152614004	0.0212947834558	40.4719061666	0.378824243468	609.639296782	5.73627507932	1824.61590694	35.719811317
30	1.78787948718	0.0493823532157	2.54885982906	0.080859136784	143.203567374	4.48014290512	2166.02898888	68.0588921399	2377.15869402	62.909849863
48	1.8368025641	0.0552507987315	2.65766752137	0.0547876562501	148.70724576	4.2510569571	2242.15621077	65.6463533016	2596.63644786	110.761826934
90	2.06328547009	0.0493489987181	2.93821025641	0.0602291227903	169.265030716	3.11381702304	2548.81194661	47.5559973941	2900.62819487	43.7039215894
132	2.09294358974	0.0721320055452	2.99463675214	0.0924140100059	171.372078659	4.21876225994	2572.6315413	64.02489979	2934.33873333	68.3874424982
168	2.04436581197	0.0521316248425	2.89418376068	0.0352778679898	166.141036492	1.24885253827	2479.93474142	21.43217444	2846.88144103	17.8022623993
192	2.10837863248	0.0156916275945	3.03609316239	0.0237022296105	172.93205629	1.90766120607	2583.11646885	28.0384874846	2913.55556581	49.7987381592
252	2.22294700855	0.06402183451	3.15740940171	0.0313244759491	182.323856504	4.23428057834	2702.23125668	65.2159023173	3046.01913248	99.5025786881
312	2.26158496118	0.0600144294517	3.11341716579	0.0483512328048	186.724725572	2.4808589445	2747.67323886	38.0175818738	3044.42455957	63.5904634487
384	5.25472913753	3.34343013491	5.14344145299	2.04345843928	196.517283335	5.03086469174	2662.1620662	128.554583451	2868.88866229	202.141268419
