#Clients	Mean User CPU - WRITE-ONLY	Std User CPU - WRITE-ONLY	Mean System CPU - WRITE-ONLY	Std System CPU - WRITE-ONLY	Mean Net-Received - WRITE-ONLY	Std Net-Received - WRITE-ONLY	Mean Net-Sent - WRITE-ONLY	Std Net-Sent - WRITE-ONLY	Mean Context Switches - WRITE-ONLY	Std Context Switches - WRITE-ONLY
6	1.40597412056	0.0337009974995	2.12310689232	0.0320731932208	1875.29247457	19.3636689871	124.009101428	1.26883066304	1749.52230468	76.6980986144
30	2.55055791539	0.128854983136	3.82734288359	0.160735809142	5462.10287782	192.917242969	360.46833579	12.7113992906	2870.77825545	146.170284849
48	2.38521339113	0.0113152446508	3.68467838849	0.031156297816	5469.2878244	42.0084221676	360.939562078	2.7710163617	2180.29587692	65.4052384266
90	2.32016666667	0.0370029873047	3.56979145299	0.0470924381047	5526.30414497	26.7919265163	364.692688301	1.76737975604	2170.49509829	45.770268486
132	2.27349401709	0.0350013812278	3.54343076923	0.0581205462853	5449.21747045	70.6380244402	359.620372596	4.6556867796	2182.40910171	60.4795893381
168	2.24757692308	0.0400611974878	3.52026068376	0.0395293311669	5486.0847097	33.2939278879	362.045849192	2.19512496064	2177.38644957	20.6207491558
192	2.27127898113	0.0378812197589	3.56796854402	0.0548767271248	5456.46699303	30.2083837197	360.094781822	1.9907643268	2204.47621776	80.5129488778
252	2.37082058459	0.0551622458902	3.63962940562	0.0695279558199	5535.23551767	2.53193833982	365.294357868	0.173823778756	2427.67207159	184.1845574
312	2.51187488745	0.0456527296683	3.85168392379	0.0697534540132	5415.12841213	88.9478826863	357.378002801	5.85820595108	2800.97723778	82.4152433448
384	3.65200695505	1.76624867819	4.01383170222	0.365228582878	5152.39433164	539.780243619	339.819128207	35.9138671535	2306.47074444	258.156673692
