#Clients	Mean User CPU - WRITE-ONLY	Std User CPU - WRITE-ONLY	Mean System CPU - WRITE-ONLY	Std System CPU - WRITE-ONLY	Mean Net-Received - WRITE-ONLY	Std Net-Received - WRITE-ONLY	Mean Net-Sent - WRITE-ONLY	Std Net-Sent - WRITE-ONLY	Mean Context Switches - WRITE-ONLY	Std Context Switches - WRITE-ONLY
6	1.08275905918	0.0135428863479	1.64585389182	0.0131803409481	40.1922711453	0.232170182995	605.404212803	3.50300103547	1799.30350953	7.34082985803
30	1.71875949069	0.0550622849888	2.50299462132	0.0638810417438	136.834434712	7.63465411819	2068.32884364	116.995349581	2349.46686555	41.2334619069
48	1.74631538462	0.0493766442343	2.53850512821	0.0635772692824	150.860919972	5.83255611305	2276.0965595	90.1407972325	2282.93767863	49.7144429363
90	2.09924188034	0.0355027198653	2.95354615385	0.0559928612666	193.968740819	0.866299506227	2924.44892995	12.5003267314	2779.35663162	12.4067214197
132	2.2656008547	0.0813658460019	3.2026965812	0.0949085634532	203.722330729	8.45243154754	3066.17726529	130.93282668	3262.03652991	71.9139643206
168	2.32746272977	0.124587480769	3.28788167533	0.140305379627	204.647325289	10.9382625642	3066.72961192	163.850737938	3343.40089162	170.621415716
192	2.28861114373	0.0297191608087	3.2482005611	0.028124023646	203.142174891	4.09473421378	3038.58413253	63.1577774142	3339.3837107	26.262577414
252	2.27977568343	0.103239202055	3.17785243035	0.118504788891	205.582389011	9.0785170422	3060.86828322	140.563365917	3289.06728803	74.6856566866
312	2.52263022118	0.0489671483574	3.45694095387	0.0901897809212	221.766516044	3.25201503015	3293.79175399	51.7205748698	3475.50205786	69.8374054897
384	2.14065769557	0.436274430463	2.96697467215	0.529073155142	214.19872311	6.93901382265	2693.99770177	663.247301454	2930.13359329	596.921613203
