#Clients	Mean User CPU - WRITE-ONLY	Std User CPU - WRITE-ONLY	Mean System CPU - WRITE-ONLY	Std System CPU - WRITE-ONLY	Mean Net-Received - WRITE-ONLY	Std Net-Received - WRITE-ONLY	Mean Net-Sent - WRITE-ONLY	Std Net-Sent - WRITE-ONLY	Mean Context Switches - WRITE-ONLY	Std Context Switches - WRITE-ONLY
6	1.32549102673	0.0325454797556	2.07358902005	0.0529537373605	1824.98469341	4.68502515747	120.499486563	0.319806814346	1634.15541839	37.7379922601
30	2.95290543581	0.116764792531	4.47059188364	0.157989950209	6204.37540623	350.5303414	409.346661252	23.1378853336	3991.48510089	171.999910081
48	3.08297094017	0.0964499920236	4.62187094017	0.142400138823	6827.28356704	270.831193669	450.47808744	17.8279712753	3961.33845897	151.995084644
90	3.5800965812	0.0515421095079	5.36522051282	0.0402842556536	8769.58356871	38.2485110515	578.747293169	2.48807327677	4132.50568376	61.0996867867
132	3.59918119658	0.186727746938	5.47685982906	0.243027525015	9193.56693209	393.403967215	606.859990151	25.8946959483	4001.70679487	181.866160989
168	3.61657403275	0.210249585361	5.56589510015	0.288949426227	9187.51063176	488.900760177	606.49913434	32.2389766681	3890.99125371	170.361304621
192	3.5618305213	0.0423300294846	5.39731640243	0.064666237499	9106.53922548	190.214927513	601.214169981	12.5094430376	3854.75656596	47.6158148198
252	3.55843850721	0.174635467451	5.43428420435	0.253623329368	9173.83003844	422.677752718	605.549789033	27.8180201645	3935.46612566	141.693115475
312	3.84259055262	0.0983469366776	5.80610897762	0.095543516792	9874.42284949	153.902865626	651.528959287	10.1775577306	4195.18265045	46.7018503646
384	7.36411572806	5.15285975914	7.06174010931	1.96632369656	8041.80892899	2015.3432006	530.594952267	133.315071037	3104.18638908	1231.2133997
