Time [s],Beginning of Time Timestamp - rep1,Beginning of Time Timestamp - rep2,Beginning of Time Timestamp - rep3,Mean Response Time [s] - rep1,Mean Response Time [s] - rep2,Mean Response Time [s] - rep3,Mean NetThread Processing Time [s] - rep1,Mean NetThread Processing Time [s] - rep2,Mean NetThread Processing Time [s] - rep3,Mean Waiting in Queue Time [s] - rep1,Mean Waiting in Queue Time [s] - rep2,Mean Waiting in Queue Time [s] - rep3,Mean Worker Pre-Processing Time [s] - rep1,Mean Worker Pre-Processing Time [s] - rep2,Mean Worker Pre-Processing Time [s] - rep3,Mean Server Service Time [s] - rep1,Mean Server Service Time [s] - rep2,Mean Server Service Time [s] - rep3,Mean Worker Post-Processing Time [s] - rep1,Mean Worker Post-Processing Time [s] - rep2,Mean Worker Post-Processing Time [s] - rep3,Mean Queue Size - rep1,Mean Queue Size - rep2,Mean Queue Size - rep3
0,5774282705007,6025161251207,6275159579707,8.92338769716,9.51678488116,8.95520735931,0.229915352261,0.0905281303602,0.0915792663477,3.66057700666,3.61506589071,3.41973948508,0.632461058535,0.153963660867,0.306135156072,4.26972071504,5.49240928694,5.03520533151,0.130713564669,0.164817912276,0.102548120301,16.2166140904,21.4641019358,20.3449532923
1,5774282705007,6025161251207,6275159579707,7.90735677429,8.79153864967,7.03924468699,0.0485924185644,0.0471228567712,0.0360556517375,2.03441311617,2.70820271888,1.55836058211,0.278076333237,0.0324947053467,0.0674384393426,5.52937422888,5.99046504488,5.34129801781,0.0169006774287,0.0132533237934,0.0360919959854,20.7065436725,19.6720437102,14.1215656756
2,5774282705007,6025161251207,6275159579707,8.80723110436,6.66790180737,6.80962170222,0.0818693153857,0.0356196636925,0.0355025685677,1.96455912578,1.47519309083,1.62063883326,0.173766507454,0.028700754976,0.0722069438398,6.57137666811,5.11015076642,5.07009179364,0.0156594876248,0.0182375314573,0.0111815629081,13.7973657548,14.8543811485,13.662821071
3,5774282705007,6025161251207,6275159579707,7.23188981411,6.52017739875,6.69238529929,0.0749645021645,0.0488768625214,0.0213172818947,1.25934241151,0.861708739304,1.67342869831,0.196963610899,0.0427088648032,0.0281049403275,5.68639933792,5.55546067313,4.95682752336,0.014219951617,0.0114222589846,0.0127068553983,11.8079959256,10.2886480319,11.2730132297
4,5774282705007,6025161251207,6275159579707,7.94327206538,5.50403232743,6.63376611406,0.0431420848097,0.0261233204134,0.0214456801819,1.8925431135,1.01462956811,1.6871730864,0.1762056235,0.032586387966,0.0320186150057,5.82145450909,4.41821599299,4.88307867563,0.00992673448394,0.012477057955,0.0100500568397,10.5314893131,10.4184200812,10.0893330807
5,5774282705007,6025161251207,6275159579707,6.94477950656,6.32886404119,6.58353543353,0.0523542787286,0.018589589017,0.0526851108765,1.46749470994,1.49741107982,1.44319358207,0.218908746388,0.0423489571416,0.181923231257,5.19363482996,4.74568802253,4.88484223865,0.0123869415426,0.024826392678,0.0208912706793,10.9943320738,10.7592185162,12.7917399977
6,5774282705007,6025161251207,6275159579707,7.31395638629,5.85277018496,5.85001218359,0.0636230769231,0.0307715744916,0.0335753865852,1.34072312485,1.38793502347,1.28497750419,0.210907943925,0.0474508235944,0.0833239141141,5.68427204649,4.36012573847,4.43291395647,0.014430194105,0.0264870249379,0.0152214222397,10.5932183082,13.1767737186,14.5374766079
7,5774282705007,6025161251207,6275159579707,6.71155675553,5.85837358085,6.92603908785,0.0560992253361,0.0322219931607,0.0251932557902,1.18008247892,1.17234169028,1.41875294358,0.171967851447,0.0539874548119,0.0618542801755,5.29327342219,4.58108170982,5.38689917355,0.0101337776259,0.0187407327797,0.0333394347516,10.6008202324,14.9429408891,10.693194572
8,5774282705007,6025161251207,6275159579707,8.04071838606,5.69552304119,6.08197471747,0.0495497478221,0.024257572305,0.033796309631,1.79226616231,1.23085195443,0.958521222122,0.188811370931,0.0461822261174,0.0569177717772,5.99787383081,4.3778613234,5.00968740874,0.0122172741862,0.016369964943,0.0230520052005,10.4085281981,11.7879929886,11.0464046405
9,5774282705007,6025161251207,6275159579707,7.35725805632,6.32483438885,6.30440679074,0.0476491993374,0.0200234325522,0.0393588899967,1.57964796245,1.45140492174,0.876508529966,0.133198332413,0.0447632859857,0.0630199069458,5.58496307013,4.7971706686,5.28590988147,0.0117994919934,0.0114720799783,0.039609582364,9.13440088349,11.3263367412,13.0338983051
10,5774282705007,6025161251207,6275159579707,7.00646774439,5.33233664403,6.02791011172,0.0680360720172,0.0240308998302,0.0261151532512,1.04430592114,1.07248078664,1.0959953404,0.181766793458,0.0431821920392,0.0646467774277,5.69907928236,4.17328903037,4.83011149623,0.0132796754152,0.0193537351443,0.0110413444094,8.72930138202,14.7171288436,11.4457175594
11,5774282705007,6025161251207,6275159579707,8.61162638004,6.31424117411,6.53457673071,0.0719317509833,0.0418087856856,0.0354582697977,1.89231803879,1.17524950744,1.15650362916,0.284905872779,0.0473608564536,0.0626785910339,6.34880725621,5.01555950945,5.26801876588,0.0136634612776,0.0342625150784,0.0119174748399,11.5575749356,13.379473261,11.4325505744
12,5774282705007,6025161251207,6275159579707,7.04391002541,5.37477671801,6.58714262014,0.052877962578,0.0355507886726,0.0255382723112,1.42818279048,1.18032034868,1.64908429634,0.168423284823,0.0341834701596,0.0792503051106,5.38013168168,4.10799125542,4.81812569603,0.0142943058443,0.0167308550872,0.0151440503432,10.0955185955,12.4252375242,14.283180778
13,5774282705007,6025161251207,6275159579707,6.98653225278,5.27035080163,6.12032945547,0.0501246459918,0.03557547671,0.0250357472021,1.39340593329,0.847481595674,1.27197551961,0.162457308367,0.052883056636,0.061539763002,5.36985750731,4.31741422066,4.74591332644,0.0106868578116,0.0169964519495,0.0158650992194,11.79906378,12.1612750213,10.3813599172
14,5774282705007,6025161251207,6275159579707,6.68093399399,6.31011725054,7.17260256038,0.0649612852853,0.0302788887754,0.0384016067171,0.956692624625,1.25073249923,1.55374168135,0.127820588589,0.053627474211,0.0707183787706,5.50778754354,4.93131216423,5.47625734425,0.023671951952,0.0441662240833,0.0334835492899,8.29993993994,14.1629047084,10.5216129367
15,5774282705007,6025161251207,6275159579707,6.87334564687,6.20817871366,6.34103535928,0.0622058816692,0.0299350457985,0.0227017626662,1.17301405324,1.24197435285,1.40902154691,0.132131721493,0.0489968538431,0.0555917645926,5.47312452633,4.87184185583,4.84097269312,0.0328694641404,0.0154306053365,0.0127475919861,9.01755201674,11.8335324572,12.1602774032
16,5774282705007,6025161251207,6275159579707,7.00068699966,5.79343287987,6.0937960339,0.0505731424061,0.0387027835915,0.0178532890714,1.30340962904,0.752970583926,1.40149386739,0.174230071034,0.0307989221432,0.0480489997379,5.45837804713,4.95891732943,4.61317459596,0.0140961100462,0.0120432607786,0.0132252817332,10.2880820837,10.927061532,9.9081855508
17,5774282705007,6025161251207,6275159579707,7.11678245222,6.79748780326,6.70075533082,0.067155448002,0.0848478854567,0.0160961165049,0.981406329114,1.99813587432,1.6652925027,0.113484896997,0.239908988466,0.0372297015462,5.94023726731,4.45592020416,4.97232651025,0.0144985107967,0.0186748508551,0.00981049982021,7.46376272028,15.8242078749,9.90929521755
18,5774282705007,6025161251207,6275159579707,6.57989162909,6.05868314974,6.16384932675,0.0648553011909,0.0297142643764,0.0320825050857,1.09017361545,1.23239349328,1.24806204592,0.320503780784,0.0411385268857,0.0380455197133,5.09056769569,4.74180067214,4.8330185605,0.013791235981,0.0136361930545,0.0126406955342,12.0891432536,10.9335324869,12.6544609125
19,5774282705007,6025161251207,6275159579707,7.11181828125,5.95129878806,7.10577462816,0.0730083653846,0.0411070068235,0.0367646876549,1.15164580529,0.872727630105,1.09618801438,0.240236454327,0.0350820653834,0.0581631011403,5.63132703125,4.99131639678,5.89930368121,0.015600625,0.0110656889704,0.0153551437779,8.14507211538,13.9625216417,15.6503470501
20,5774282705007,6025161251207,6275159579707,6.85241522757,6.45586190526,6.68989505389,0.0922288036411,0.0410794173129,0.0380482623149,1.09690369311,1.29924030602,1.51377865418,0.221126202861,0.0706645462167,0.0711347134079,5.43098248375,5.03211647453,5.05487237836,0.0111740442133,0.0127611611821,0.0120610456331,8.12912873862,12.5400335359,13.9295859776
