Time [s],Beginning of Time Timestamp - rep1,Beginning of Time Timestamp - rep2,Beginning of Time Timestamp - rep3,Mean Response Time [s] - rep1,Mean Response Time [s] - rep2,Mean Response Time [s] - rep3,Mean NetThread Processing Time [s] - rep1,Mean NetThread Processing Time [s] - rep2,Mean NetThread Processing Time [s] - rep3,Mean Waiting in Queue Time [s] - rep1,Mean Waiting in Queue Time [s] - rep2,Mean Waiting in Queue Time [s] - rep3,Mean Worker Pre-Processing Time [s] - rep1,Mean Worker Pre-Processing Time [s] - rep2,Mean Worker Pre-Processing Time [s] - rep3,Mean Server Service Time [s] - rep1,Mean Server Service Time [s] - rep2,Mean Server Service Time [s] - rep3,Mean Worker Post-Processing Time [s] - rep1,Mean Worker Post-Processing Time [s] - rep2,Mean Worker Post-Processing Time [s] - rep3,Mean Queue Size - rep1,Mean Queue Size - rep2,Mean Queue Size - rep3
0,6522766567263,6763277937263,7003887739963,26.1803940599,23.9547708183,25.3597906783,0.139984388807,0.126517985612,0.0996809628009,22.4869423662,20.5513461331,21.9961054267,0.208343691703,0.132077068345,0.135875667396,3.17756843397,2.95783457734,3.00808109409,0.167555179185,0.186995053957,0.120047527352,56.1340206186,56.8129496403,59.2621444201
1,6522766567263,6763277937263,7003887739963,23.7228952265,24.6133342968,25.7803446053,0.0281505928854,0.0740894121468,0.0463465131579,21.2770639404,21.9529482624,23.0769031579,0.0482068105807,0.0717782396882,0.0625878618421,2.35665229553,2.49311419292,2.578775,0.0128215871085,0.021404189672,0.0157320723684,67.965034965,65.5472556025,67.5019736842
2,6522766567263,6763277937263,7003887739963,22.1398544734,23.9108537031,24.0566969913,0.0125347112118,0.0299233770192,0.0192705645161,19.8716710646,21.4520562329,21.5995361352,0.062117610419,0.0136562328558,0.0158711538462,2.1825403171,2.40514864371,2.41183200993,0.0109907701019,0.0100692167022,0.0101871277916,68.0234994337,68.2886315148,68.0601736973
3,6522766567263,6763277937263,7003887739963,21.1187850269,21.9016103361,21.9249047512,0.0164671505376,0.0115916526611,0.0169672757942,18.9581455376,19.6560783473,19.6796775654,0.0357881451613,0.018011372549,0.0170382625808,2.09698981183,2.20568543417,2.20040486365,0.0113943817204,0.0102435294118,0.0108167838066,68.1045698925,68.0521008403,67.9125667697
4,6522766567263,6763277937263,7003887739963,21.2136538192,20.7447489429,20.7438230485,0.0161092847503,0.0122322410148,0.013220464135,19.0433785695,18.6262616279,18.6213037447,0.0235951147099,0.0178740486258,0.0186507383966,2.11904645074,2.07657185518,2.07912916667,0.0115243994602,0.0118091701903,0.0115189345992,68.2097165992,68.3047040169,68.3950421941
5,6522766567263,6763277937263,7003887739963,21.1037646742,20.7281820438,21.5803800939,0.0146084544965,0.0121715341959,0.0124387907234,18.941697119,18.611208714,19.3694837659,0.0207642164782,0.019613387906,0.0212892600773,2.11523562197,2.07342788487,2.16740066262,0.0114592622509,0.0117605228413,0.00976761457758,68.232902531,68.2191708476,68.3992269464
6,6522766567263,6763277937263,7003887739963,20.9054020544,20.9548788405,22.137495903,0.0135803895411,0.0121447502004,0.0117685340022,18.7664232924,18.8124860005,19.8632263099,0.0241011205977,0.0163423991451,0.0226399944259,2.08892705443,2.1026345712,2.22981374025,0.0123701974386,0.0112711194229,0.0100473244147,68.1763607257,68.2246860807,68.1836677815
7,6522766567263,6763277937263,7003887739963,21.1578351972,21.5654239735,22.0813063035,0.018484710967,0.020076109121,0.0184437250428,18.9800117774,19.3450724993,19.828841814,0.0195675580767,0.015387296776,0.0254239874501,2.12885710427,2.17477699091,2.19078938962,0.0109140464614,0.0101110774318,0.017807387336,68.0321447866,68.2543400386,68.1363377068
8,6522766567263,6763277937263,7003887739963,21.8907307885,20.939702367,20.9460997862,0.0124991671294,0.0121321010638,0.0124792034215,19.6583549972,18.8030069947,18.8012092221,0.0206842032204,0.0166778989362,0.0194532477947,2.18823767351,2.09623699468,2.1009273189,0.0109547473626,0.0116483776596,0.0120307939054,67.9900055525,68.232712766,68.1630580059
9,6522766567263,6763277937263,7003887739963,21.4908929868,21.0986469481,21.4839639748,0.0119404290429,0.0174072331272,0.0118535450315,19.2918685094,18.9411778704,19.2912289899,0.0244021727173,0.0150084700188,0.0228716944977,2.15174383938,2.11362398494,2.14630733644,0.0109380363036,0.0114293896209,0.0117024089789,67.9350935094,68.0720623824,68.3197372023
