Time [s],Beginning of Time Timestamp - rep1,Beginning of Time Timestamp - rep2,Beginning of Time Timestamp - rep3,Mean Response Time [s] - rep1,Mean Response Time [s] - rep2,Mean Response Time [s] - rep3,Mean NetThread Processing Time [s] - rep1,Mean NetThread Processing Time [s] - rep2,Mean NetThread Processing Time [s] - rep3,Mean Waiting in Queue Time [s] - rep1,Mean Waiting in Queue Time [s] - rep2,Mean Waiting in Queue Time [s] - rep3,Mean Worker Pre-Processing Time [s] - rep1,Mean Worker Pre-Processing Time [s] - rep2,Mean Worker Pre-Processing Time [s] - rep3,Mean Server Service Time [s] - rep1,Mean Server Service Time [s] - rep2,Mean Server Service Time [s] - rep3,Mean Worker Post-Processing Time [s] - rep1,Mean Worker Post-Processing Time [s] - rep2,Mean Worker Post-Processing Time [s] - rep3,Mean Queue Size - rep1,Mean Queue Size - rep2,Mean Queue Size - rep3
0,3565169464463,3808396580763,4050164413063,30.3038943707,27.7529495146,26.2846813153,0.119175469108,0.172538133765,0.0679208510638,26.7490823799,23.5954766451,23.2930425919,0.137560915332,0.209396709817,0.0791588007737,3.09203455378,3.52515124056,2.77019106383,0.206041052632,0.250386785329,0.0743680077369,73.8155606407,57.4298813376,71.8471953578
1,3565169464463,3808396580763,4050164413063,38.2842020924,28.0712759552,29.7255899817,0.0276161468614,0.0200434645217,0.0318468331303,35.1000440189,25.7872834243,27.2745310292,0.0643921042242,0.0400227233554,0.026733952497,3.07797939203,2.20873300776,2.37936044458,0.0141704303198,0.0151933352485,0.0131177222899,88.1622581919,87.7825337547,87.9862971985
2,3565169464463,3808396580763,4050164413063,42.6808997821,27.2262699334,28.2773864865,0.0232936383442,0.0173901443642,0.0358845025877,39.1660901961,24.9955691005,25.9507824324,0.0384767320261,0.0122606329817,0.01635293272,3.43853577342,2.18985813437,2.26497570443,0.0145034422658,0.0111919211549,0.00939091431857,87.6941176471,87.9594669628,87.7406555492
3,3565169464463,3808396580763,4050164413063,27.6627360693,26.282122838,26.481489713,0.0208937801761,0.015437188755,0.0197701678397,25.410015365,24.1290353949,24.3024136979,0.0319053109912,0.0119558768407,0.0469831889551,2.18951905709,2.11431676037,2.10023925284,0.010402556092,0.0113776171352,0.0120834055225,87.9355296791,87.8580990629,87.7027612344
4,3565169464463,3808396580763,4050164413063,26.3952205605,25.6841909115,26.4636951456,0.0179452977634,0.0104981141959,0.0136888888889,24.2263371598,23.5888026192,24.2972530205,0.0444529237402,0.0121499476166,0.0203950647249,2.09463982754,2.06146270299,2.12104770766,0.0118453516572,0.0112775275013,0.0113104638619,87.7876583131,87.9188056574,87.7742718447
5,3565169464463,3808396580763,4050164413063,26.8434338529,26.4171753233,26.6854978243,0.0168716707684,0.0105734644397,0.0140398694588,24.6487212469,24.2609646821,24.4992989937,0.0372070002734,0.0167113415948,0.020438645635,2.12858750342,2.11062548491,2.13843646995,0.0120464315012,0.0183003502155,0.0132838455262,88.1484823626,87.6926185345,87.9951047049
6,3565169464463,3808396580763,4050164413063,27.5441532886,26.0254426859,27.3106618809,0.0176508536244,0.0107149746869,0.0246433222037,25.2910305346,23.8970730083,25.0644317474,0.0492187517492,0.0143540634159,0.0223655537006,2.17385933389,2.09129962697,2.18831190874,0.0123938147215,0.0120010125233,0.0109093489149,88.0377833753,87.7319477751,87.9348914858
7,3565169464463,3808396580763,4050164413063,27.082076674,26.377822073,26.6754127856,0.0154987271721,0.0102602309345,0.0133069640914,24.8643389596,24.2201098281,24.4949276931,0.0424159103486,0.0177691192266,0.0198831610446,2.14899333149,2.11785853921,2.13565764418,0.0108297454344,0.0118243555317,0.0116373231774,87.8782512452,87.6750805585,87.7992383025
8,3565169464463,3808396580763,4050164413063,26.5730313869,26.4273838588,26.3818986287,0.0156871586915,0.0104920506602,0.013090561979,24.3973075426,24.2664670709,24.2269636999,0.0384569343066,0.0194183508488,0.0196332616295,2.11047988646,2.11806760981,2.11158080129,0.0110998648283,0.0129387766101,0.0106303038451,87.9472830495,87.7798437079,87.9892444205
9,3565169464463,3808396580763,4050164413063,26.9218746145,26.683721203,26.8725981329,0.0212226872247,0.0146648067501,0.0188390444811,24.7058655837,24.5006032934,24.6672052444,0.0469095814978,0.0226364997278,0.0145342668863,2.13709102423,2.13322174741,2.16284783086,0.0107857378855,0.0125948557431,0.00917174629325,88.095814978,87.7324442025,88.2207578254
10,3565169464463,3808396580763,4050164413063,26.5530769878,26.3172504148,26.7537244142,0.0175937313433,0.0106306663099,0.0131360490463,24.3780669471,24.1693990099,24.5618080926,0.0259783446404,0.014805753278,0.020270653951,2.12127218453,2.11000165908,2.1476299455,0.01016578019,0.0124133261975,0.0108796730245,87.7009497965,87.9229328338,87.7555858311
