#Time [s],Throughput [req/s] - rep1,Throughput [req/s] - rep2,Throughput [req/s] - rep3
0,7900.0,6860.0,7880.0
1,8800.0,7940.0,8420.0
2,9360.0,8740.0,9406.66666667
3,9930.0,9360.0,9350.0
4,10144.0,9744.0,9700.0
5,10193.3333333,9976.66666667,9923.33333333
6,10322.8571429,10140.0,10100.0
7,10420.0,10160.0,10162.5
8,10502.2222222,10313.3333333,10268.8888889
9,10560.0,10404.0,10348.0
10,10587.2727273,10423.6363636,10352.7272727
11,10615.0,10476.6666667,10421.6666667
12,10606.1538462,10555.3846154,10449.2307692
13,10638.5714286,10570.0,10420.0
14,10654.6666667,10600.0,10466.6666667
15,10693.75,10586.25,10480.0
16,10707.0588235,10616.4705882,10509.4117647
17,10731.1111111,10635.5555556,10527.7777778
18,10746.3157895,10592.6315789,10572.6315789
19,10764.0,10617.0,10600.0
20,10781.9047619,10655.2380952,10626.6666667
21,10781.8181818,10672.7272727,10642.7272727
22,10806.9565217,10689.5652174,10600.8695652
23,10817.5,10624.1666667,10589.1666667
24,10829.6,10631.2,10552.0
25,10841.5384615,10664.6153846,10580.0
26,10854.0740741,10648.8888889,10605.1851852
27,10862.1428571,10643.5714286,10625.0
28,10870.3448276,10583.4482759,10626.2068966
29,10694.6666667,10592.6666667,10599.3333333
30,10700.0,10323.2258065,10420.6451613
31,10707.5,10022.5,10456.25
32,10721.8181818,9737.57575758,10473.3333333
33,10720.0,9470.0,10477.0588235
34,10725.1428571,9226.85714286,10476.0
35,10705.5555556,9270.0,10503.3333333
36,10716.2162162,9320.54054054,10513.5135135
37,10728.4210526,9368.94736842,10532.1052632
38,10739.4871795,9410.76923077,10551.2820513
39,10745.5,9457.0,10567.5
40,10756.097561,9495.12195122,10582.4390244
41,10755.7142857,9535.71428571,10556.6666667
42,10763.7209302,9569.76744186,10492.0930233
43,10770.9090909,9600.45454545,10506.3636364
44,10779.5555556,9642.22222222,10508.8888889
45,10786.5217391,9670.86956522,10522.6086957
46,10789.3617021,9705.10638298,10532.3404255
47,10778.75,9710.0,10545.8333333
48,10787.3469388,9745.30612245,10555.9183673
49,10788.4,9707.2,10567.6
50,10800.3921569,9709.01960784,10582.745098
51,10803.4615385,9743.07692308,10568.8461538
52,10800.3773585,9770.56603774,10570.9433962
53,10810.3703704,9790.0,10576.2962963
54,10802.9090909,9805.45454545,10587.6363636
55,10755.3571429,9827.85714286,10594.6428571
56,10761.0526316,9850.1754386,10607.7192982
57,10767.5862069,9870.68965517,10602.7586207
58,10715.5932203,9881.69491525,10612.8813559
59,10667.0,9871.33333333,10618.3333333
60,10627.8688525,9890.81967213,10500.9836066
61,10637.0967742,9910.32258065,10416.1290323
62,10621.9047619,9929.52380952,10438.0952381
63,10631.25,9941.5625,10418.4375
64,10638.1538462,9878.46153846,10435.0769231
65,10640.6060606,9874.84848485,10445.4545455
66,10649.5522388,9894.62686567,10456.119403
67,10656.7647059,9909.11764706,10465.0
68,10648.9855072,9926.95652174,10475.3623188
69,10650.8571429,9940.85714286,10479.7142857
70,10657.1830986,9959.15492958,10482.5352113
71,10665.8333333,9972.77777778,10496.3888889
72,10672.3287671,9988.49315068,10505.7534247
73,10677.027027,9997.02702703,10513.5135135
74,10684.2666667,10017.8666667,10524.8
75,10691.0526316,10028.9473684,10532.1052632
76,10696.3636364,10043.6363636,10540.2597403
77,10700.0,10058.2051282,10542.8205128
78,10703.2911392,10062.5316456,10538.7341772
79,10711.5,10078.0,10543.5
80,10711.6049383,10078.2716049,10546.6666667
81,10636.8292683,10096.097561,10549.7560976
82,10647.2289157,10107.9518072,10528.4337349
83,10646.9047619,10105.2380952,10509.2857143
84,10654.3529412,10120.2352941,10517.8823529
85,10654.8837209,10127.9069767,10516.0465116
86,10659.7701149,10129.6551724,10522.2988506
87,10665.4545455,10136.3636364,10529.7727273
88,10670.5617978,10137.5280899,10536.1797753
89,10654.2222222,10144.0,10542.4444444
