#Clients,Mean Post-Processing Time - 8 workers [ms],Std Post-Processing Time - 8 workers,Mean Post-Processing Time - 16 workers [ms],Std Post-Processing Time - 16 workers,Mean Post-Processing Time - 32 workers [ms],Std Post-Processing Time - 32 workers,Mean Post-Processing Time - 64 workers [ms],Std Post-Processing Time - 64 workers
6.0,0.00878625129311,7.26058300679e-05,0.00937024274823,0.000233108097149,0.00949591430831,8.46839989472e-05,0.00797134710782,7.13897699072e-05
30.0,0.0103868716987,6.41871167426e-05,0.0123033707865,0.00035319999121,0.0125185901711,0.000391850871349,0.0128870542508,0.000119842269188
48.0,0.0107207055231,0.000192055451817,0.0140737103272,0.000530739166733,0.0125459200295,0.000219336960345,0.0125900846249,0.000292366344379
90.0,0.0106170328498,7.78069229492e-05,0.0132411418922,0.000696285214822,0.0127440399009,0.000146854967121,0.012104865737,0.000575209116153
132.0,0.0107883248233,8.71135006922e-05,0.0124363495258,0.000693209101121,0.0133103930323,0.000296207499195,0.0123831959611,0.000162342141426
168.0,0.0106291533106,0.000158116172518,0.0129551596949,0.000239283857431,0.0135220765782,0.000202488721293,0.0119504246542,0.000198510148556
192.0,0.010884580756,0.000257934424079,0.0129758855641,0.000299172752113,0.0139523967667,0.000426284774652,0.0119070591098,0.000263275949041
252.0,0.010379008454,0.000136414853107,0.0128300526485,0.000277075749759,0.0141604200558,0.000241365627092,0.0125643576792,0.000460545588595
312.0,0.0106828395001,0.000195482770841,0.0126645586585,0.000479753400377,0.0140686450342,0.00033670053178,0.0128091456979,0.00032497989363
384.0,0.0103206883134,0.000116632590058,0.0129457629677,0.00075865726224,0.0142597419375,0.000999618645482,0.0133369977828,0.0013614651617
