#Clients,Mean Queue Size - 8 workers,Std Queue Size - 8 workers,Mean Queue Size - 16 workers,Std Queue Size - 16 workers,Mean Queue Size - 32 workers,Std Queue Size - 32 workers,Mean Queue Size - 64 workers,Std Queue Size - 64 workers
6.0,0.0182763143251,0.00282861541608,0.0436942429102,0.0107437262211,0.0226605737461,0.00152588572068,0.0231689060518,0.000866121754141
30.0,2.87765926501,0.00514556993411,1.79120314635,0.0284545068264,1.84859741701,0.0578673281843,2.05059689968,0.0374868235851
48.0,11.4559917983,0.00848273780479,3.01061313538,0.0491891630459,2.86784711945,0.101379854046,2.86987624916,0.0782979768746
90.0,32.4004699289,0.020517519259,19.5143333168,0.0667897724932,5.21011284954,0.179931459036,5.13053251371,0.337592297091
132.0,53.4314360476,0.021690950706,40.5391292827,0.121969905505,15.1669640789,0.886319115807,8.75343638095,0.131705028286
168.0,71.4202207691,0.0246127171886,58.4733044686,0.0386809212532,30.8260733984,1.67109476466,9.73673887415,0.653642888077
192.0,83.4376567743,0.0150212687257,70.5713785993,0.159618141016,42.7516358549,0.220093939555,11.1524738518,1.10594601286
252.0,113.380013333,0.0540020385119,100.611046725,0.0259001817626,71.2428548153,0.753836145375,20.8912739052,1.0441291314
312.0,143.207111336,0.108721451149,130.146953478,0.444310368087,102.812266153,0.688492462902,31.262574512,1.62639649358
384.0,179.399428099,0.102127775222,164.898748759,2.20949937577,138.620390155,0.129343239371,43.8419233144,4.1669472806
