#Clients,Mean Server Service Time - 8 workers [ms],Std Server Service Time - 8 workers,Mean Server Service Time - 16 workers [ms],Std Server Service Time - 16 workers,Mean Server Service Time - 32 workers [ms],Std Server Service Time - 32 workers,Mean Server Service Time - 64 workers [ms],Std Server Service Time - 64 workers
6.0,1.85116760554,0.0109919377425,1.87784955411,0.00816559753641,1.88201462659,0.00762643518039,1.87995377183,0.00223015591472
30.0,2.03824342496,0.0158825163011,2.24288447401,0.0538642454295,2.27734349805,0.0498914295918,2.31973076761,0.0430021172486
48.0,2.09231309631,0.0119147527723,2.70011097016,0.0720772649891,3.02357762144,0.0328720357997,2.89754041398,0.024711367862
90.0,2.08819721789,0.00400334597075,2.61606168794,0.0385574964869,4.05916029476,0.0642763807375,4.00114141537,0.0725130456072
132.0,2.10207343809,0.00930517166298,2.48220320751,0.0622088155105,4.25651974551,0.0865290092958,5.01724029621,0.108144276027
168.0,2.09541141337,0.00624574448787,2.56633949992,0.0272282561296,4.27548932484,0.0942014157761,6.14011180353,0.209450640618
192.0,2.10273291244,0.0103013947097,2.58811769186,0.0699756998563,4.30358158711,0.111033391954,6.49551696221,0.0846266845408
252.0,2.08272574902,0.00101335474937,2.56545626886,0.0399283647125,4.27508724627,0.0416880947903,6.64189766674,0.0221635496871
312.0,2.1059280437,0.021749821379,2.54066787223,0.030885943456,4.23070868638,0.0431368269415,6.79141225122,0.0778329107032
384.0,2.08162367887,0.0124440636583,2.57004960821,0.0857807861377,4.27349159932,0.0736834047591,6.84290342961,0.221221732926
