#Clients,Mean NetThread Processing Time - 8 workers [ms],Std NetThread Processing Time - 8 workers,Mean NetThread Processing - 16 workers [ms],Std NetThread Processing Time - 16 workers,Mean NetThread Processing - 32 workers [ms],Std NetThread Processing Time - 32 workers,Mean NetThread Processing - 64 workers [ms],Std NetThread Processing Time - 64 workers
6.0,0.0152837005128,0.000463540450105,0.0150337449254,8.65640486712e-05,0.0149690903201,0.000543684823555,0.0151518023596,0.000521568091516
30.0,0.0125877619703,0.000158370387267,0.0189409777323,0.00131015438935,0.0209347596517,0.00265120344698,0.0195685993177,0.00131466053126
48.0,0.0129681554012,0.000316438342668,0.0183953716941,0.000817103520496,0.0237430992334,0.00143215171092,0.0205044524751,0.00172745163911
90.0,0.012352606846,0.000339068072393,0.015869877833,0.00153794680541,0.0241362474903,0.00366607912376,0.0321033584024,0.0107931986412
132.0,0.012342938397,0.000687202884514,0.0149765680501,0.00218947368987,0.0251815222817,0.00605796564905,0.0246348584271,0.000762508327061
168.0,0.0117369677584,0.000378830834615,0.0147908886615,0.00102973316832,0.0197540389725,0.00147485644397,0.0350144469869,0.00487929815769
192.0,0.0125393313194,0.000894814691023,0.0132175484586,0.000595936249994,0.0190521759305,0.00273785476478,0.0448142431018,0.00900794237229
252.0,0.0125280213512,0.000784985830181,0.0132707987802,0.000291486316189,0.0232441983244,0.00401553037774,0.0432663462976,0.00285254792185
312.0,0.0125452981575,0.000113024781694,0.0145478393305,0.00152595065835,0.0190873597062,0.00219823993659,0.0499421430586,0.0131958826615
384.0,0.012749561972,0.000149037626829,0.015055555731,0.002857105853,0.021522148449,0.00292664355062,0.0470162278774,0.0093937720175
