#Clients,Mean Response Time - 8 workers [ms],Std Response Time - 8 workers,Mean Response Time - 16 workers [ms],Std Response Time - 16 workers,Mean Response Time - 32 workers [ms],Std Response Time - 32 workers,Mean Response Time - 64 workers [ms],Std Response Time - 64 workers
6.0,1.90918690394,0.00984920392523,1.94105434709,0.00811210424777,1.94382602464,0.00738941949347,1.93715385121,0.00353533290647
30.0,3.2953065462,0.0220479770062,2.46138143451,0.0692571099992,2.51502802892,0.054674455313,2.55723011418,0.049317653334
48.0,5.70505592581,0.0340108487259,3.46037383605,0.0865342148243,3.3745502969,0.0453927979365,3.23178672846,0.0299372565393
90.0,11.2538776616,0.0225136322019,6.41530488026,0.114954129227,4.8964694118,0.0604195324482,4.56692547097,0.102152797976
132.0,16.9422657113,0.058474278085,9.47283759448,0.252320968549,7.2257092703,0.103456737595,5.82836450783,0.0737425114206
168.0,21.6264507433,0.0561508947217,12.7644389214,0.11194075469,9.54407873045,0.170181641371,7.48655958036,0.298071010992
192.0,24.9552563552,0.0607300104052,14.7244534603,0.337881840919,11.2442940149,0.322394045863,8.4250489874,0.067948294602
252.0,32.5882790275,0.0115208313865,19.4799362736,0.297367010277,15.216368832,0.0860319130647,10.3209406645,0.071394358752
312.0,40.8399305053,0.395367668805,24.1363633345,0.275394356554,18.993494213,0.169351343575,12.0913558892,0.154706026835
384.0,49.9724521408,0.268155375272,30.2497660944,1.40050408351,24.24309127,0.407619657613,14.0808856002,0.311611660461
