#Clients,Mean Pre-Processing Time - 8 workers [ms],Std Pre-Processing Time - 8 workers,Mean Pre-Processing Time - 16 workers [ms],Std Pre-Processing Time - 16 workers,Mean Pre-Processing Time - 32 workers [ms],Std Pre-Processing Time - 32 workers,Mean Pre-Processing Time - 64 workers [ms],Std Pre-Processing Time - 64 workers
6.0,0.011339534903,0.000157269333275,0.0118605922911,0.000186284486414,0.0117956322317,0.000310812043486,0.0112787856034,0.000514567510591
30.0,0.0141783744032,0.000835911251317,0.0193076251899,0.00103643145286,0.0226327169403,0.00179422403972,0.0187393642712,0.00148827358304
48.0,0.0175941535862,0.00242632117418,0.0269036764268,0.000558646043728,0.02691296862,0.00358608579497,0.0237687431823,0.00111030695711
90.0,0.0156990397962,0.00116800149669,0.0362504694459,0.00822730667117,0.0284519931275,0.00754075914788,0.0392925422779,0.0105840368667
132.0,0.0160485266235,0.00183691349631,0.0321354085711,0.0110220493261,0.0594171887165,0.0230714070172,0.0347555069867,0.00412992336798
168.0,0.0137586709211,0.00128457681573,0.0290877050412,0.00570837556317,0.0505612724755,0.00364101561226,0.0606866015153,0.0141430363331
192.0,0.0165469014249,0.0032705122189,0.0201057162894,0.00230464317438,0.0529276737459,0.0219406761735,0.0764928362101,0.0295918170778
252.0,0.0142859025454,0.00152528906064,0.0203703413004,0.000906583834636,0.0643175725792,0.0179385606432,0.112075398838,0.0194495255861
312.0,0.0119582673959,0.000373371992689,0.0269678647616,0.00642897471548,0.0384016101299,0.00783456836994,0.159941924844,0.0620782341609
384.0,0.0137155940475,0.000289284473366,0.0328080303443,0.0165805753724,0.0661051637684,0.0264879278369,0.20727704595,0.15242098822
