#Clients,Mean Wait-In-Queue Time - 8 workers [ms],Std Wait-In-Queue Time - 8 workers,Mean Wait-In-Queue Time - 16 workers [ms],Std Wait-In-Queue Time - 16 workers,Mean Wait-In-Queue Time - 32 workers [ms],Std Wait-In-Queue Time - 32 workers,Mean Wait-In-Queue Time - 64 workers [ms],Std Wait-In-Queue Time - 64 workers
6.0,0.0137475126447,0.000750296351516,0.0179393459271,0.00178312777875,0.0154877831407,0.00014214893384,0.0156707883021,0.000314160110731
30.0,1.21009628622,0.00942511676509,0.144839271143,0.0106323765156,0.152820882779,0.00327054491857,0.161388255185,0.00188734252614
48.0,3.56481114337,0.0205242443507,0.673143661163,0.018023962924,0.226462248093,0.00179223361803,0.220209429882,0.00573082999442
90.0,9.12250802233,0.0178301005494,3.71961242274,0.0617958447865,0.693010578116,0.0201827425957,0.362037004877,0.0344548789355
132.0,14.7986032419,0.0503840711573,6.91249201336,0.172540434575,2.74370153689,0.0576731697965,0.533929652215,0.00997272522487
168.0,19.4917168141,0.051999200913,10.0988092505,0.0887801044709,5.05057364924,0.0713057490656,0.99560464549,0.0396444864214
192.0,22.8117436881,0.05614931995,12.073593279,0.274144992477,6.76921324389,0.176759941022,1.50318329116,0.0794554174622
252.0,30.4639381187,0.0154643568348,16.8389799585,0.248280696673,10.7563312999,0.0713487160152,3.15161540942,0.112914606713
312.0,38.7000004417,0.374264088849,21.5136480176,0.255105479661,14.6711080156,0.12902316971,4.65241775606,0.257313515516
384.0,47.8494435524,0.253564955537,27.6007688352,1.29348557575,19.8284621313,0.315835196254,6.43491470125,0.385486945537
