#Time [s],Throughput [req/s] - rep1,Throughput [req/s] - rep2,Throughput [req/s] - rep3
0,2160.0,1360.0,1720.0
1,2990.0,2760.0,2990.0
2,3446.66666667,3106.66666667,3266.66666667
3,3580.0,3380.0,3425.0
4,3884.0,3564.0,3588.0
5,4090.0,3786.66666667,3736.66666667
6,4202.85714286,3862.85714286,3791.42857143
7,4312.5,3945.0,3837.5
8,4380.0,4053.33333333,3913.33333333
9,4452.0,4130.0,3948.0
10,4503.63636364,4209.09090909,3943.63636364
11,4551.66666667,4266.66666667,3966.66666667
12,4549.23076923,4307.69230769,3961.53846154
13,4531.42857143,4314.28571429,3941.42857143
14,4506.66666667,4354.66666667,3936.0
15,4488.75,4381.25,3931.25
16,4472.94117647,4417.64705882,3945.88235294
17,4475.55555556,4442.22222222,3935.55555556
18,4482.10526316,4463.15789474,3921.05263158
19,4469.0,4457.0,3940.0
20,4452.38095238,4457.14285714,3947.61904762
21,4468.18181818,4466.36363636,3958.18181818
22,4445.2173913,4471.30434783,3953.91304348
23,4460.0,4480.0,3968.33333333
24,4457.6,4494.4,3976.0
25,4460.76923077,4505.38461538,3990.0
26,4462.22222222,4522.96296296,3997.03703704
27,4458.57142857,4528.57142857,3985.0
28,4460.68965517,4540.68965517,3980.68965517
29,4452.66666667,4546.0,3991.33333333
30,4459.35483871,4558.06451613,3992.25806452
31,4463.75,4570.625,3992.5
32,4467.27272727,4580.0,4004.84848485
33,4468.23529412,4587.05882353,4007.64705882
34,4450.28571429,4590.28571429,4010.28571429
35,4459.44444444,4576.11111111,4020.0
36,4452.97297297,4574.59459459,4023.78378378
37,4447.89473684,4582.10526316,4027.36842105
38,4449.23076923,4585.12820513,4034.35897436
39,4434.0,4571.5,4035.0
40,4440.0,4571.2195122,4038.04878049
41,4426.66666667,4572.38095238,4036.19047619
42,4428.8372093,4580.46511628,4027.44186047
43,4429.54545455,4577.72727273,4027.72727273
44,4429.33333333,4580.88888889,4034.22222222
45,4438.26086957,4578.26086957,4038.26086957
46,4444.25531915,4578.72340426,4039.14893617
47,4450.41666667,4580.83333333,4041.25
48,4443.26530612,4582.04081633,4044.08163265
49,4449.2,4585.6,4048.0
50,4454.50980392,4572.15686275,4052.94117647
51,4430.0,4508.84615385,4056.92307692
52,4387.9245283,4481.50943396,4060.0
53,4393.7037037,4486.66666667,4067.03703704
54,4386.18181818,4487.63636364,4075.63636364
55,4384.64285714,4489.28571429,4074.28571429
56,4383.85964912,4490.87719298,4071.22807018
57,4391.72413793,4487.5862069,4073.10344828
58,4381.01694915,4493.89830508,4071.86440678
59,4381.0,4493.33333333,4079.33333333
60,4383.60655738,4499.01639344,4087.21311475
61,4388.70967742,4495.16129032,4092.90322581
62,4390.47619048,4493.65079365,4096.82539683
63,4392.5,4491.875,4100.0
64,4394.46153846,4484.0,4106.46153846
65,4396.36363636,4485.15151515,4106.96969697
66,4391.94029851,4483.58208955,4111.04477612
67,4389.41176471,4482.05882353,4115.58823529
68,4392.46376812,4483.1884058,4115.94202899
69,4395.14285714,4479.42857143,4116.57142857
70,4395.49295775,4483.38028169,4119.15492958
71,4393.33333333,4481.38888889,4121.11111111
72,4393.15068493,4476.43835616,4120.82191781
73,4395.94594595,4475.13513514,4124.86486486
74,4399.2,4472.8,4123.73333333
75,4400.52631579,4471.05263158,4122.10526316
76,4402.5974026,4469.87012987,4125.19480519
77,4402.30769231,4470.0,4125.12820513
78,4400.75949367,4461.51898734,4127.84810127
79,4405.5,4461.5,4130.5
80,4408.39506173,4457.5308642,4132.09876543
81,4409.02439024,4456.82926829,4132.43902439
82,4413.25301205,4456.14457831,4136.62650602
83,4416.19047619,4458.57142857,4139.04761905
84,4420.23529412,4461.17647059,4139.76470588
85,4420.46511628,4461.86046512,4132.79069767
86,4423.44827586,4461.37931034,4135.63218391
87,4428.40909091,4460.68181818,4141.81818182
88,4420.0,4459.1011236,4148.08988764
89,4422.44444444,4455.77777778,4152.66666667
90,1164.3956044,550.32967033,578.021978022
