#Time [s],Throughput [req/s] - rep1,Throughput [req/s] - rep2,Throughput [req/s] - rep3
0,3960.0,2760.0,3220.0
1,5400.0,4210.0,4720.0
2,5946.66666667,4400.0,5273.33333333
3,6310.0,4695.0,5435.0
4,6180.0,4444.0,5576.0
5,6360.0,4863.33333333,5690.0
6,6474.28571429,5225.71428571,5765.71428571
7,6522.5,5422.5,5797.5
8,6600.0,5495.55555556,5833.33333333
9,6546.0,5462.0,5802.0
10,6512.72727273,5472.72727273,5810.90909091
11,6428.33333333,5478.33333333,5748.33333333
12,6470.76923077,5615.38461538,5786.15384615
13,6157.14285714,5495.71428571,5751.42857143
14,5861.33333333,5537.33333333,5653.33333333
15,5978.75,5550.0,5615.0
16,6020.0,5625.88235294,5649.41176471
17,6025.55555556,5677.77777778,5708.88888889
18,6085.26315789,5757.89473684,5766.31578947
19,6139.0,5817.0,5801.0
20,6200.0,5863.80952381,5845.71428571
21,6202.72727273,5861.81818182,5874.54545455
22,6216.52173913,5899.13043478,5740.0
23,6219.16666667,5935.0,5678.33333333
24,6130.4,5977.6,5656.0
25,6036.15384615,6017.69230769,5667.69230769
26,5917.03703704,6060.74074074,5708.14814815
27,5955.0,6097.14285714,5753.57142857
28,5982.06896552,6124.13793103,5775.86206897
29,6010.0,6136.66666667,5802.0
30,6037.41935484,6149.67741935,5833.5483871
31,6051.875,6177.5,5715.0
32,6054.54545455,6173.33333333,5758.18181818
33,6090.0,6187.64705882,5801.17647059
34,6090.28571429,6165.14285714,5825.14285714
35,6030.55555556,6119.44444444,5857.22222222
36,6047.02702703,6141.08108108,5880.54054054
37,6069.47368421,6164.21052632,5905.78947368
38,6086.66666667,6174.87179487,5915.38461538
39,6045.5,6186.0,5923.0
40,6061.95121951,6208.29268293,5931.2195122
41,6076.66666667,6230.95238095,5946.19047619
42,6099.06976744,6237.6744186,5957.6744186
43,6102.72727273,6242.72727273,5964.54545455
44,6114.22222222,6237.33333333,5913.33333333
45,6121.73913043,6246.95652174,5929.56521739
46,6128.08510638,6266.80851064,5930.63829787
47,6130.41666667,6279.16666667,5928.75
48,6131.42857143,6282.04081633,5922.44897959
49,6127.2,6219.2,5900.8
50,6135.68627451,6176.07843137,5905.09803922
51,6134.61538462,6069.61538462,5914.23076923
52,6145.66037736,6052.83018868,5928.67924528
53,6159.25925926,6051.11111111,5937.40740741
54,6162.90909091,6024.36363636,5930.90909091
55,6167.85714286,6038.57142857,5935.0
56,6129.12280702,6040.35087719,5953.33333333
57,6088.27586207,6065.86206897,5966.89655172
58,6058.30508475,6079.66101695,5975.59322034
59,6038.0,6098.33333333,5951.33333333
60,6017.04918033,6100.6557377,5961.63934426
61,6032.25806452,6111.93548387,5974.83870968
62,6004.44444444,6126.66666667,5971.74603175
63,6017.5,6065.0,5975.625
64,6023.07692308,6087.69230769,5972.30769231
65,6002.72727273,6106.96969697,5969.09090909
66,6002.08955224,6043.58208955,5963.58208955
67,6019.70588235,5964.11764706,5964.70588235
68,6028.69565217,5886.95652174,5956.23188406
69,5993.42857143,5812.0,5953.71428571
70,5989.29577465,5739.15492958,5947.6056338
71,5993.33333333,5668.33333333,5949.44444444
72,5996.71232877,5607.94520548,5955.89041096
73,6000.0,5599.72972973,5961.62162162
74,6007.73333333,5554.4,5927.73333333
75,6018.68421053,5570.0,5895.52631579
76,6025.97402597,5582.5974026,5852.46753247
77,6035.38461538,5589.48717949,5855.38461538
78,6039.24050633,5601.51898734,5866.83544304
79,6047.0,5608.25,5880.5
80,6052.59259259,5620.74074074,5881.48148148
81,6059.02439024,5601.2195122,5865.6097561
82,6057.8313253,5589.15662651,5842.89156627
83,6056.66666667,5595.71428571,5855.95238095
84,5992.94117647,5612.23529412,5864.47058824
85,5974.41860465,5615.81395349,5877.20930233
86,5947.5862069,5624.36781609,5883.44827586
87,5914.31818182,5622.5,5884.09090909
88,5917.30337079,5624.94382022,5893.25842697
89,5923.11111111,5637.77777778,5898.44444444
90,5873.62637363,5622.41758242,4013.84615385
