#Workers,Service rate per thread,Total service rate,Lambda for 192 clients
8,482.045499892,7712.72799827,7166.93041928
16,371.117756628,11875.7682121,10126.9956543
32,213.71715031,13677.8976198,11950.0996135
64,135.839109625,17387.406032,14098.7146096
