#Clients,Mean Queue Size - 8 workers,Std Queue Size - 8 workers,Mean Queue Size - 16 workers,Std Queue Size - 16 workers,Mean Queue Size - 32 workers,Std Queue Size - 32 workers,Mean Queue Size - 64 workers,Std Queue Size - 64 workers
2.0,0.0213419344214,0.0170554780801,0.0213566463275,0.0152273098335,0.0132961986504,0.00356170024796,0.0185506776127,0.00876039508293
10.0,1.32647633243,0.0748778061014,1.81868951775,0.164569374623,1.7312379061,0.0714650823264,1.73932341306,0.138442608223
16.0,2.07305487913,0.0292737778404,2.12751577759,0.33399402294,2.52731756405,0.164343150156,2.61689145612,0.281281036446
30.0,12.1063487223,0.093397287614,3.49388107581,0.629475365171,3.58815744956,0.441941192041,3.55936995501,0.57168170638
44.0,25.6723448229,0.235006970415,7.95467566812,1.41435382365,5.11862903038,1.20593135533,5.22449533257,0.849634861233
56.0,37.5208028752,0.353632600088,16.9317342085,1.15171475122,6.95177024122,0.885345438021,6.73692405878,0.418737571085
64.0,44.6226731712,0.113580556059,19.0704558842,2.83209112302,8.12950769928,0.770422388667,6.87309298826,1.11338460499
84.0,64.0896541797,0.252796553415,40.4307422307,1.43501321755,14.6197254178,0.266855617609,9.57882311,1.39927247474
104.0,83.598324387,0.317481739174,56.7702462791,3.86936259269,19.1909139331,2.93332281347,11.7425305142,1.34012006113
128.0,106.033827766,1.41221127378,77.4279823405,6.00558978215,28.182374211,5.12818198342,14.4523496073,0.795593646678
