#Clients,Mean NetThread Processing Time - 8 workers [ms],Std NetThread Processing Time - 8 workers,Mean NetThread Processing - 16 workers [ms],Std NetThread Processing Time - 16 workers,Mean NetThread Processing - 32 workers [ms],Std NetThread Processing Time - 32 workers,Mean NetThread Processing - 64 workers [ms],Std NetThread Processing Time - 64 workers
2.0,0.00560586605916,4.7735424928e-05,0.00578446805767,2.99228186301e-05,0.00565266378319,3.65987511699e-05,0.00564888949757,3.11321884233e-05
10.0,0.00652394689734,0.000324720795759,0.00646689505173,0.000253784998614,0.00496905346812,0.000212914072959,0.00503300601524,0.000798239329933
16.0,0.00515046949183,0.000969145989061,0.00779813559992,0.000531359905812,0.00687245242453,0.000618138155116,0.00706957918453,0.00110339537823
30.0,0.00435658722082,0.0001616103308,0.00693548829801,0.00104965628351,0.00715786422485,0.00129663903228,0.00706036190474,0.0010578509673
44.0,0.00427196062533,8.71692875677e-06,0.00535774669673,0.000273367637952,0.00862509784914,0.000175248403442,0.00757421820038,0.000433932947302
56.0,0.00405622842102,0.000133776461615,0.00525650608707,0.000122013067595,0.00727571734624,0.000833638281276,0.00663370738094,0.000220596219085
64.0,0.00418361540023,0.000174254224915,0.00501761603139,0.000122079214408,0.00715063948519,0.000279601962475,0.00728111791146,0.00102936170851
84.0,0.00431045145738,0.000262269476158,0.0053536533235,0.000565984572497,0.00643236806291,0.000841774335629,0.00672392356757,0.0009185102426
104.0,0.00412894926065,0.000170271460035,0.00489649469793,0.000271852235419,0.00531204967464,0.000809234611115,0.00704123784344,0.000561566222691
128.0,0.00420178685412,0.00013512964164,0.00474584713745,0.000501729434144,0.00481150856646,9.70067626196e-05,0.00602727154282,0.00109875418788
