#Number of Clients,Mean Throughput [req/s] - 8 WORKERS,Std Dev Throughput - 8 WORKERS,Response Time [ms] - 8 WORKERS,Mean Throughput [req/s] - 16 WORKERS,Std Dev Throughput - 16 WORKERS,Response Time [ms] - 16 WORKERS,Mean Throughput [req/s] - 32 WORKERS,Std Dev Throughput - 32 WORKERS,Response Time [ms] - 32 WORKERS,Mean Throughput [req/s] - 64 WORKERS,Std Dev Throughput - 64 WORKERS,Response Time [ms] - 64 WORKERS
2,1383.83113657,9.525921691,1.44526304341,1398.01796987,27.6532604896,1.43059677566,1414.32611236,8.70240529772,1.41410102135,1395.57886242,14.1537801162,1.43309708527
10,5106.61114849,41.7335818145,1.95824583255,5319.62042216,98.9628656479,1.87983337276,6050.77611169,74.794646439,1.65268055129,6415.98307226,77.2374202434,1.55860760345
16,7076.73340789,337.913705127,2.26093016054,6892.25074857,266.370293685,2.32144775106,7857.37710571,181.591264086,2.03630292714,7813.37437302,243.010751838,2.04777081401
30,8194.37967863,545.523238125,3.66104588469,9135.39545637,599.64811364,3.28393008746,10330.2486106,61.0306948086,2.90409274072,10563.9176026,190.146789986,2.83985554684
44,8235.38892529,256.968442689,5.34279563469,10501.3797185,128.129103192,4.18992562687,10555.6698729,211.121562794,4.16837590884,10790.094324,90.3972649808,4.07781421356
56,8284.79706137,270.289057651,6.75936894835,10548.7557797,143.180809159,5.30868295461,10654.990575,109.354301702,5.25575312392,10708.9038549,43.5854726342,5.22929337667
64,8661.97773274,293.039209152,7.38861285202,10638.5132187,85.6052640998,6.01587822326,10613.0323829,165.4662043,6.03032174888,10808.3629073,111.249820117,5.92134077553
84,8299.94477539,241.423339314,10.1205492655,10424.5311692,296.467592544,8.05791633568,10565.1045985,299.618288763,7.95070216459,10812.6673626,139.372908956,7.76866587894
104,8821.12685034,299.703770197,11.7898769357,10497.2524552,177.029077151,9.9073543714,10673.4923382,124.961735587,9.74376489949,10827.9412787,85.2421847273,9.60478056936
128,8390.49730722,211.899852036,15.2553532065,10371.5191389,89.1532226016,12.3414900254,10676.1473986,255.025719759,11.9893436482,10857.2928959,125.314755566,11.7893107634
