#Clients,Mean Post-Processing Time - 8 workers [ms],Std Post-Processing Time - 8 workers,Mean Post-Processing Time - 16 workers [ms],Std Post-Processing Time - 16 workers,Mean Post-Processing Time - 32 workers [ms],Std Post-Processing Time - 32 workers,Mean Post-Processing Time - 64 workers [ms],Std Post-Processing Time - 64 workers
2.0,0.00960681557176,0.000393807036754,0.00937824978763,0.000154920153534,0.00935987358488,4.57802862498e-05,0.00823708563165,7.57606711489e-05
10.0,0.0172681692837,0.000425896747512,0.0151665239331,0.000382564848778,0.0126727196938,0.000145986127741,0.0120058332358,0.000632998016324
16.0,0.0171026944947,0.000237970503078,0.0132786879357,0.000746886596069,0.0127312069601,0.000740299055628,0.0125683670321,0.000381679604509
30.0,0.0155695747364,0.00031371321483,0.013060987485,0.000882101955104,0.0122482691477,0.000306427854013,0.0118193268877,0.000237858729478
44.0,0.0170695955688,0.00029182450872,0.0142731947654,0.000962129571553,0.0126658671174,4.73125054209e-05,0.0119554086064,0.000705375052555
56.0,0.0179526390832,0.000401197939177,0.0157760045595,0.000444156952687,0.0129281968865,0.000950277738041,0.0119429454775,0.000320187928464
64.0,0.0181603054174,0.000679785597285,0.0152958520292,0.000808353977948,0.0148649987501,0.00143450396395,0.0129835478423,0.000171581597817
84.0,0.0171606622791,0.000231397837401,0.0161574161919,0.000959686514079,0.016833597943,0.00165791923766,0.0135379170191,0.000556353466763
104.0,0.0180438371779,0.000280382501963,0.0161604766506,0.00178058830701,0.0164255447091,0.000934304611918,0.0144028991192,0.000674891606036
128.0,0.0179917484886,0.00161976672435,0.0181119466953,0.00146115476195,0.0170065912328,0.00173503719826,0.0134136657855,0.000435911263457
