#Clients,Mean Response Time - 8 workers [ms],Std Response Time - 8 workers,Mean Response Time - 16 workers [ms],Std Response Time - 16 workers,Mean Response Time - 32 workers [ms],Std Response Time - 32 workers,Mean Response Time - 64 workers [ms],Std Response Time - 64 workers
2.0,0.709461214222,0.0163065637842,0.729617434157,0.00716723494518,0.725112445942,0.0139639589069,0.734943231194,0.0014620862531
10.0,1.17836155313,0.00478377365281,1.07768845202,0.0314989314096,0.965380663003,0.0408629397542,0.903297126992,0.0836659540626
16.0,1.39942992736,0.0435677132482,1.22306545864,0.0862756197728,1.15111068077,0.0491977046999,1.11612065856,0.0541063003297
30.0,2.6824252583,0.0201307331671,1.60663229815,0.100107813751,1.63264333464,0.0809143561242,1.56872225501,0.0497535414296
44.0,4.70636900762,0.0741652769627,2.25901337571,0.181410012903,1.88531484664,0.0650896182841,1.85149751434,0.0864048944772
56.0,6.5068041011,0.160213788325,3.32959972501,0.0740803328876,2.13655217225,0.0433078171039,2.03035927789,0.0352494731309
64.0,7.81581700904,0.167900573014,3.66653625913,0.244426973652,2.39028720349,0.0892308794559,2.18073670514,0.0797263606896
84.0,9.77786377518,0.208014783858,5.38056895947,0.185193417338,3.09352163858,0.1234162968,2.52330338629,0.0905226435987
104.0,13.0311453306,0.296307635642,7.12942678783,0.417391900248,3.7220470674,0.24251044929,2.69191394539,0.285207883634
128.0,16.1853366386,0.976873748016,9.52155000135,0.59937709724,4.48431689526,0.197323755156,2.99432662167,0.135692760727
