#Clients,Mean Pre-Processing Time - 8 workers [ms],Std Pre-Processing Time - 8 workers,Mean Pre-Processing Time - 16 workers [ms],Std Pre-Processing Time - 16 workers,Mean Pre-Processing Time - 32 workers [ms],Std Pre-Processing Time - 32 workers,Mean Pre-Processing Time - 64 workers [ms],Std Pre-Processing Time - 64 workers
2.0,0.00309265767401,2.04448815033e-05,0.00319647023805,2.85088640396e-05,0.00345725836879,2.69392734018e-05,0.00370780290823,6.08697376356e-05
10.0,0.00415826998696,0.000232644976815,0.00401309097484,6.98913284418e-05,0.00351414056563,0.000213960498734,0.00340397433524,9.77879020083e-05
16.0,0.00357159180655,0.000278497244015,0.0038303374566,0.000184079560054,0.00331348635105,0.000237215221045,0.00322203445987,0.000164498670011
30.0,0.00300798891545,0.000307030710985,0.00319525772562,0.00013205776324,0.00292374482427,0.000210672034612,0.0029379487432,0.000108753604625
44.0,0.00315720476259,0.000191990194477,0.00306550650914,7.64331975104e-05,0.00283804180121,0.00012653740184,0.00271605018901,0.000187442816942
56.0,0.00295745529325,8.64102401619e-05,0.00312645386694,6.58085563421e-05,0.00279873714517,0.000198301641356,0.00258677455967,0.000208180179586
64.0,0.00294745815481,0.000228952921108,0.00314983719084,9.28869638357e-05,0.00266096100202,0.000155087258475,0.00255618742993,0.000117405341089
84.0,0.00315193697266,0.000130479140544,0.00332778925332,8.05394765054e-05,0.00251443537499,0.000189603722809,0.00247260886292,0.000269120354491
104.0,0.00305957382274,0.000208317914122,0.00311348684391,0.000116234902458,0.00230949627639,0.000210643762213,0.00236108616222,9.27644137787e-05
128.0,0.00327643829548,6.89611474188e-05,0.00297828342887,0.000278451541848,0.00217801980161,4.72853701783e-05,0.00216006685566,0.000252147996508
