#Clients,Mean Throughput [req/s] - 8 workers,Std Throughput - 8 workers,Mean Throughput [req/s] - 16 workers,Std Throughput - 16 workers,Mean Throughput [req/s] - 32 workers,Std Throughput - 32 workers,Mean Throughput [req/s] - 64 workers,Std Throughput - 64 workers
2.0,2819.04064649,0.0,2741.16256873,0.0,2758.19289987,0.0,2721.29861887,0.0
10.0,8486.35970299,0.0,9279.11956486,0.0,10358.6081462,0.0,11070.554418,0.0
16.0,11433.2269785,0.0,13081.8836285,0.0,13899.619096,0.0,14335.3676659,0.0
30.0,11183.9090044,0.0,18672.5985993,0.0,18375.1094703,0.0,19123.8442014,0.0
44.0,9349.03317797,0.0,19477.5296477,0.0,23338.2769348,0.0,23764.5471621,0.0
56.0,8606.37559237,0.0,16818.8384866,0.0,26210.452863,0.0,27581.3254382,0.0
64.0,8188.52334004,0.0,17455.1662596,0.0,26775.0251546,0.0,29347.8803971,0.0
84.0,8590.8335329,0.0,15611.731888,0.0,27153.5194558,0.0,33289.6949516,0.0
104.0,7980.87945164,0.0,14587.4280072,0.0,27941.6133425,0.0,38634.2216392,0.0
128.0,7908.39281615,0.0,13443.1893948,0.0,28543.923855,0.0,42747.5075944,0.0
