#Client   MNT WIQ PrP SST PsP RspT    RespT_std
2	0.00560586605916	0.013083993476	0.00309265767401	0.710305629939	0.00933110946497	0.743502663956	0.00123048777699
10	0.00652394689734	0.189365897679	0.00415826998696	0.809111229349	0.0160606933758	1.0277270491	0.006305345786
16	0.00515046949183	0.309564380804	0.00357159180655	0.89506271973	0.0157976866855	1.23426896476	0.0365995368729
30	0.00435658722082	1.67803307529	0.00300798891545	0.90152942876	0.0141717498632	2.60450598545	0.334327079661
44	0.00427196062533	3.0289875402	0.00315720476259	0.858704624024	0.0153447808771	3.91471099479	0.0274690884734
56	0.00405622842102	4.35077388915	0.00295745529325	0.866916507024	0.015036447446	5.24391720179	0.22412853706
64	0.00418361540023	5.03126327488	0.00294745815481	0.841401919709	0.015411355994	5.89731473185	0.152200135821
84	0.00431045145738	7.5743058315	0.00315193697266	0.887631217181	0.0158635699125	8.48866632278	0.260139089072
104	0.00412894926065	9.46082269661	0.00305957382274	0.868495783666	0.0154409129055	10.3571218877	0.552662952272
128	0.00420178685412	12.1405241891	0.00327643829548	0.8816490765	0.0161734632177	13.0521991225	0.337124855636
