#Clients,Mean NetThread Processing Time - 8 workers [ms],Std NetThread Processing Time - 8 workers,Mean NetThread Processing - 16 workers [ms],Std NetThread Processing Time - 16 workers,Mean NetThread Processing - 32 workers [ms],Std NetThread Processing Time - 32 workers,Mean NetThread Processing - 64 workers [ms],Std NetThread Processing Time - 64 workers
2.0,0.0161966354057,0.000580788051994,0.0148912824807,0.00102662723782,0.0143348529275,0.000876961740215,0.0157701321256,0.000272716824622
10.0,0.0265921694457,0.0054086381065,0.0235618806688,0.00401879044952,0.0302674411646,0.00331529249291,0.0297889443468,0.00612455651708
16.0,0.0261709878938,0.0037621264284,0.0416383414272,0.0153326882579,0.036370154092,0.00474566167323,0.032159758893,0.00729904427991
30.0,0.0218749068804,0.00257445465842,0.0517441348021,0.0222138485949,0.0557478878349,0.00883250368767,0.0587472035784,0.0135727982103
44.0,0.0206565471661,0.00335246236559,0.0507508415084,0.0218575391872,0.0567834400965,0.0254825595429,0.0567212580221,0.0142407963501
56.0,0.0231859601129,0.00463089488812,0.045074028295,0.0107342168164,0.0512028430345,0.0119111182623,0.0581739001001,0.00604757884797
64.0,0.0306239325521,0.00456716556024,0.0609809141697,0.0117261932436,0.0552348019352,0.0113854315514,0.0719509349231,0.0177944481595
84.0,0.0191989171626,0.00589716182262,0.0402518674949,0.00669721382767,0.0465907585993,0.00176330078469,0.0756172564608,0.0194948716899
104.0,0.0284163993176,0.00802237861569,0.0434799824688,0.00985347210329,0.0555619046145,0.0085311174389,0.0697085686618,0.00785311611562
128.0,0.0269956741052,0.00526619207633,0.0453639221346,0.0132075091779,0.0580679761648,0.0125814498104,0.0697896017612,0.00492855695838
