#Clients,Mean Queue Size - 8 workers,Std Queue Size - 8 workers,Mean Queue Size - 16 workers,Std Queue Size - 16 workers,Mean Queue Size - 32 workers,Std Queue Size - 32 workers,Mean Queue Size - 64 workers,Std Queue Size - 64 workers
2.0,0.0129663755246,0.00433453172451,0.00611427746422,0.000645062423188,0.0102156678242,0.00635199315954,0.00460637829252,0.00301087475981
10.0,2.01668665941,0.051314962265,2.47166599209,0.0450044955665,2.75915603663,0.0234325097199,2.83186688063,0.121907146212
16.0,2.92551277012,0.0553288203565,3.67707295139,0.0794407177043,3.92675149184,0.0752322599695,3.96692856598,0.0895516367565
30.0,13.290410197,0.163946418241,5.81621487112,0.0515712543406,6.50934559394,0.0639792328461,6.66591982063,0.161273953416
44.0,26.3654181412,0.118627845666,11.8061664757,0.147956642505,8.91583072075,0.0431928777888,9.6551659396,0.210428422487
56.0,37.6346281277,0.427743728398,21.9177658213,0.180169660381,11.2241294793,0.155768352869,12.3040161114,0.0703391551727
64.0,45.1856769461,0.12337364845,29.5001023124,0.497186452215,12.9021344953,0.0600275789974,13.8892006925,0.129017982077
84.0,64.4267978731,0.544237590386,49.0450215139,0.295409714276,21.6588188727,0.682827271665,17.6299767939,0.0683349186229
104.0,82.4586779275,2.64932789497,67.2154180074,0.390009013122,36.5666209827,0.678730796301,22.2819916238,0.257933570978
128.0,104.703191325,2.07316756173,90.7600120072,0.781829856729,58.0855275406,0.843963622657,26.9701674159,1.22558131676
