#Clients,Mean Throughput [req/s] - 8 workers,Std Throughput - 8 workers,Mean Throughput [req/s] - 16 workers,Std Throughput - 16 workers,Mean Throughput [req/s] - 32 workers,Std Throughput - 32 workers,Mean Throughput [req/s] - 64 workers,Std Throughput - 64 workers
2.0,2689.970187,0.0,2707.7829977,0.0,2760.8546893,0.0,2782.42939662,0.0
10.0,9730.20998986,0.0,10436.7184709,0.0,11804.4818732,0.0,12661.8107886,0.0
16.0,12963.1388756,0.0,13902.2107814,0.0,15505.3723571,0.0,16437.8873203,0.0
30.0,11518.4991578,0.0,19548.9028237,0.0,20893.8856186,0.0,20918.4561759,0.0
44.0,11239.654743,0.0,17695.4945275,0.0,16929.9188772,0.0,16754.9185653,0.0
56.0,10679.0397035,0.0,16082.8232564,0.0,16354.7353704,0.0,15401.1770339,0.0
64.0,10852.3968806,0.0,15153.5966921,0.0,15298.4860968,0.0,15284.3810393,0.0
84.0,9895.54740473,0.0,13732.32226,0.0,14545.5809525,0.0,14984.397191,0.0
104.0,10041.3996405,0.0,13239.188702,0.0,13800.0363535,0.0,13764.5986252,0.0
128.0,9806.7765285,0.0,12710.6093291,0.0,12996.1020047,0.0,12983.8896715,0.0
