#Clients,Mean Server Service Time - 8 workers [ms],Std Server Service Time - 8 workers,Mean Server Service Time - 16 workers [ms],Std Server Service Time - 16 workers,Mean Server Service Time - 32 workers [ms],Std Server Service Time - 32 workers,Mean Server Service Time - 64 workers [ms],Std Server Service Time - 64 workers
2.0,0.710305629939,0.000293638478402,0.705435160181,0.0120609636715,0.691044828551,0.00499314161515,0.68532140983,0.00746156008073
10.0,0.809111229349,0.00840667723947,0.795353731244,0.00675999073427,0.689562108045,0.00438131547304,0.639120681809,0.0246245185561
16.0,0.89506271973,0.0252406337456,0.917775239131,0.0213502945827,0.806163177247,0.0307896527765,0.756753251025,0.0335412413249
30.0,0.90152942876,0.0993486354768,1.1044056156,0.0346930227696,1.13563629817,0.0669037442343,1.13395957353,0.07894604349
44.0,0.858704624024,0.00701001046428,1.26191581309,0.0106189175925,1.88926907089,0.0766165259166,2.25353988745,0.128933695509
56.0,0.866916507024,0.0263360089859,1.31352625265,0.0367143978124,2.182815244,0.111337666495,3.21771379038,0.115549141231
64.0,0.841401919709,0.0222864983897,1.33852606664,0.0429528665042,2.42587675701,0.034185629705,3.75170148372,0.00562613894069
84.0,0.887631217181,0.0244177671415,1.40521153801,0.0106627508307,2.63105303987,0.0505297699952,4.18473900149,0.343962381151
104.0,0.868495783666,0.0237760155583,1.40918456737,0.00806388715272,2.71948913353,0.0455849813961,4.79056707417,0.0819123223451
128.0,0.8816490765,0.0103790706297,1.42401973867,0.015590021744,2.79398327724,0.0256180530613,5.27424235028,0.0948262409051
