A:servers,B:middlewares,C:workers,Throughput - rep1,Throughput - rep2,Throughput - rep3,Response time - rep1,Response time - rep2,Response time - rep3
2,1,8,4219.98,4143.02,4317.17,45.9166666667,45.9283333333,44.5116666667
2,1,32,8310.44,7775.67,8406.53,23.095,24.685,22.8316666667
2,2,8,8026.93,7940.1,7925.92,24.0383333333,24.2933333333,24.3433333333
2,2,32,16268.98,16789.31,16202.94,11.7983333333,11.4366666667,11.83
3,1,8,3924.17,3640.21,3912.28,48.9183333333,52.68,49.0683333333
3,1,32,7619.31,7510.3,7603.73,25.1933333333,25.5583333333,25.245
3,2,8,7493.88,7764.7,7645.4,25.7466666667,25.1366666667,25.2716666667
3,2,32,15336.04,15134.56,15443.49,12.515,12.6833333333,12.4483333333
2,1,8,4219.98,4143.02,4317.17,45.9166666667,45.9283333333,44.5116666667
2,1,32,8310.44,7775.67,8406.53,23.095,24.685,22.8316666667
2,2,8,8026.93,7940.1,7925.92,24.0383333333,24.2933333333,24.3433333333
2,2,32,16268.98,16789.31,16202.94,11.7983333333,11.4366666667,11.83
3,1,8,3924.17,3640.21,3912.28,48.9183333333,52.68,49.0683333333
3,1,32,7619.31,7510.3,7603.73,25.1933333333,25.5583333333,25.245
3,2,8,7493.88,7764.7,7645.4,25.7466666667,25.1366666667,25.2716666667
3,2,32,15336.04,15134.56,15443.49,12.515,12.6833333333,12.4483333333
