A:servers,B:middlewares,C:workers,Throughput - rep1,Throughput - rep2,Throughput - rep3,Response time - rep1,Response time - rep2,Response time - rep3
2,1,8,3430.73,3436.25,3513.2,55.96,55.8883333333,54.6483333333
2,1,32,7185.71,7251.56,6909.73,26.7166666667,26.47,27.73
2,2,8,6499.18,6322.67,6335.51,29.7533333333,30.5,30.4633333333
2,2,32,13099.4,13540.36,13546.07,14.705,14.1833333333,14.0416666667
3,1,8,3332.46,3315.38,3373.07,57.9433333333,57.9133333333,57.4566666667
3,1,32,6378.51,6075.05,6289.97,30.0983333333,31.6066666667,30.52
3,2,8,6181.62,6230.24,6289.12,31.2,30.965,30.6633333333
3,2,32,12403.83,11694.48,12149.57,15.4866666667,16.4183333333,15.8383333333
2,1,8,3430.73,3436.25,3513.2,55.96,55.8883333333,54.6483333333
2,1,32,7185.71,7251.56,6909.73,26.7166666667,26.47,27.73
2,2,8,6499.18,6322.67,6335.51,29.7533333333,30.5,30.4633333333
2,2,32,13099.4,13540.36,13546.07,14.705,14.1833333333,14.0416666667
3,1,8,3332.46,3315.38,3373.07,57.9433333333,57.9133333333,57.4566666667
3,1,32,6378.51,6075.05,6289.97,30.0983333333,31.6066666667,30.52
3,2,8,6181.62,6230.24,6289.12,31.2,30.965,30.6633333333
3,2,32,12403.83,11694.48,12149.57,15.4866666667,16.4183333333,15.8383333333
