#Time [s],Throughput [req/s] - rep1,Throughput [req/s] - rep2,Throughput [req/s] - rep3
0,1280.0,1280.0,1320.0
1,1780.0,1310.0,1340.0
2,1760.0,1693.33333333,1760.0
3,1925.0,1700.0,1945.0
4,1956.0,1852.0,2024.0
5,1970.0,1936.66666667,2066.66666667
6,2022.85714286,2020.0,2088.57142857
7,2085.0,1990.0,2122.5
8,2133.33333333,1997.77777778,2166.66666667
9,2158.0,2042.0,2200.0
10,2201.81818182,2063.63636364,2232.72727273
11,2248.33333333,2053.33333333,2280.0
12,2287.69230769,2087.69230769,2292.30769231
13,2314.28571429,2120.0,2310.0
14,2352.0,2130.66666667,2304.0
15,2383.75,2162.5,2317.5
16,2404.70588235,2180.0,2328.23529412
17,2411.11111111,2205.55555556,2352.22222222
18,2422.10526316,2220.0,2358.94736842
19,2426.0,2236.0,2368.0
20,2429.52380952,2250.47619048,2372.38095238
21,2440.0,2260.90909091,2386.36363636
22,2448.69565217,2254.7826087,2388.69565217
23,2449.16666667,2248.33333333,2385.83333333
24,2444.8,2252.8,2392.8
25,2443.07692308,2259.23076923,2399.23076923
26,2460.0,2252.59259259,2402.96296296
27,2475.0,2256.42857143,2407.14285714
28,2479.31034483,2261.37931034,2412.4137931
29,2484.66666667,2264.0,2416.0
30,2485.16129032,2272.90322581,2406.4516129
31,2489.375,2274.375,2410.625
32,2496.36363636,2284.24242424,2417.57575758
33,2500.58823529,2294.70588235,2414.11764706
34,2506.28571429,2303.42857143,2416.57142857
35,2511.11111111,2310.0,2416.11111111
36,2519.45945946,2318.91891892,2422.7027027
37,2523.68421053,2323.68421053,2426.31578947
38,2526.15384615,2316.41025641,2428.20512821
39,2529.0,2323.0,2430.0
40,2530.24390244,2325.36585366,2435.6097561
41,2535.23809524,2328.0952381,2441.42857143
42,2538.13953488,2327.90697674,2441.86046512
43,2537.72727273,2330.0,2442.27272727
44,2537.33333333,2328.44444444,2445.33333333
45,2537.39130435,2335.65217391,2449.13043478
46,2537.44680851,2334.46808511,2451.91489362
47,2541.66666667,2335.0,2451.25
48,2541.2244898,2335.51020408,2452.65306122
49,2542.4,2337.2,2451.6
50,2546.2745098,2340.78431373,2450.19607843
51,2547.30769231,2343.84615385,2449.23076923
52,2545.28301887,2343.77358491,2451.32075472
53,2542.96296296,2341.48148148,2445.55555556
54,2546.18181818,2344.0,2445.45454545
55,2546.42857143,2347.5,2446.07142857
56,2546.31578947,2352.28070175,2449.12280702
57,2545.17241379,2355.86206897,2451.03448276
58,2541.69491525,2358.98305085,2451.18644068
59,2543.33333333,2356.66666667,2454.33333333
60,2543.93442623,2360.98360656,2470.16393443
61,2548.06451613,2360.32258065,2473.22580645
62,2547.3015873,2360.0,2476.19047619
63,2546.875,2360.3125,2478.4375
64,2546.15384615,2361.53846154,2479.38461538
65,2543.33333333,2366.96969697,2479.6969697
66,2541.49253731,2368.35820896,2481.49253731
67,2539.41176471,2372.94117647,2482.94117647
68,2536.8115942,2376.8115942,2482.89855072
69,2537.14285714,2378.85714286,2484.28571429
70,2532.67605634,2380.84507042,2485.63380282
71,2535.83333333,2383.61111111,2490.0
72,2533.42465753,2386.30136986,2495.61643836
73,2533.51351351,2387.2972973,2499.45945946
74,2531.46666667,2385.86666667,2500.8
75,2530.0,2388.15789474,2501.31578947
76,2528.57142857,2388.57142857,2498.7012987
77,2527.17948718,2392.56410256,2502.56410256
78,2525.3164557,2394.6835443,2503.5443038
79,2523.25,2394.0,2505.25
80,2521.48148148,2395.55555556,2504.9382716
81,2519.51219512,2395.6097561,2509.75609756
82,2521.68674699,2396.86746988,2511.3253012
83,2521.19047619,2396.19047619,2514.76190476
84,2520.47058824,2397.41176471,2515.76470588
85,2517.44186047,2399.30232558,2517.6744186
86,2518.3908046,2401.14942529,2519.54022989
87,2519.77272727,2401.81818182,2518.40909091
88,2522.02247191,2402.47191011,2519.3258427
89,2524.88888889,2404.0,2519.55555556
