#Time [s],Throughput [req/s] - rep1,Throughput [req/s] - rep2,Throughput [req/s] - rep3
0,2280.0,2660.0,2480.0
1,2620.0,2690.0,2920.0
2,2866.66666667,2400.0,3033.33333333
3,2965.0,2455.0,3230.0
4,3156.0,2568.0,3292.0
5,3303.33333333,2540.0,3413.33333333
6,3434.28571429,2728.57142857,3485.71428571
7,3512.5,2860.0,3550.0
8,3580.0,2928.88888889,3622.22222222
9,3614.0,2976.0,3692.0
10,3630.90909091,3030.90909091,3727.27272727
11,3651.66666667,3076.66666667,3781.66666667
12,3700.0,3109.23076923,3790.76923077
13,3711.42857143,3141.42857143,3815.71428571
14,3710.66666667,3173.33333333,3813.33333333
15,3720.0,3187.5,3810.0
16,3730.58823529,3220.0,3815.29411765
17,3725.55555556,3237.77777778,3821.11111111
18,3730.52631579,3252.63157895,3825.26315789
19,3730.0,3279.0,3830.0
20,3724.76190476,3308.57142857,3835.23809524
21,3734.54545455,3319.09090909,3839.09090909
22,3746.95652174,3328.69565217,3845.2173913
23,3746.66666667,3347.5,3840.83333333
24,3749.6,3365.6,3836.8
25,3756.15384615,3374.61538462,3835.38461538
26,3748.14814815,3399.25925926,3831.85185185
27,3754.28571429,3414.28571429,3822.14285714
28,3737.24137931,3417.93103448,3824.13793103
29,3753.33333333,3421.33333333,3816.0
30,3752.90322581,3425.16129032,3832.25806452
31,3756.25,3422.5,3835.625
32,3766.06060606,3427.27272727,3821.81818182
33,3777.05882353,3426.47058824,3808.82352941
34,3777.14285714,3427.42857143,3797.71428571
35,3791.11111111,3430.55555556,3788.33333333
36,3796.21621622,3440.54054054,3791.35135135
37,3805.26315789,3452.63157895,3794.73684211
38,3811.79487179,3456.92307692,3790.76923077
39,3820.0,3456.0,3784.5
40,3821.95121951,3454.63414634,3782.92682927
41,3820.47619048,3448.57142857,3776.66666667
42,3820.0,3454.41860465,3774.88372093
43,3825.90909091,3455.0,3773.18181818
44,3822.66666667,3456.88888889,3766.66666667
45,3823.91304348,3452.17391304,3761.30434783
46,3822.9787234,3456.17021277,3758.29787234
47,3821.66666667,3455.0,3758.75
48,3824.48979592,3453.87755102,3752.65306122
49,3824.4,3453.6,3748.8
50,3826.2745098,3455.29411765,3747.84313725
51,3826.15384615,3457.30769231,3746.15384615
52,3825.28301887,3458.49056604,3750.56603774
53,3822.22222222,3461.11111111,3747.77777778
54,3821.45454545,3466.90909091,3748.72727273
55,3823.57142857,3467.85714286,3745.71428571
56,3822.45614035,3465.26315789,3743.50877193
57,3825.17241379,3475.51724138,3739.65517241
58,3829.15254237,3485.42372881,3747.79661017
59,3831.33333333,3489.33333333,3745.0
60,3832.78688525,3492.78688525,3746.8852459
61,3832.58064516,3496.4516129,3751.29032258
62,3831.42857143,3499.68253968,3756.19047619
63,3829.6875,3502.8125,3752.1875
64,3830.46153846,3508.30769231,3748.61538462
65,3830.3030303,3509.39393939,3744.24242424
66,3831.94029851,3514.32835821,3747.46268657
67,3832.94117647,3522.05882353,3752.94117647
68,3840.28985507,3524.92753623,3755.36231884
69,3840.28571429,3526.28571429,3754.57142857
70,3838.87323944,3529.01408451,3758.87323944
71,3839.44444444,3534.44444444,3756.11111111
72,3844.38356164,3535.89041096,3760.82191781
73,3845.67567568,3543.51351351,3761.89189189
74,3844.8,3550.4,3758.66666667
75,3846.31578947,3554.73684211,3760.26315789
76,3847.53246753,3558.44155844,3761.55844156
77,3844.87179487,3564.61538462,3766.41025641
78,3843.29113924,3570.12658228,3763.29113924
79,3839.5,3569.5,3765.25
80,3840.0,3572.83950617,3770.61728395
81,3843.41463415,3573.90243902,3770.24390244
82,3840.72289157,3581.92771084,3773.25301205
83,3818.57142857,3584.76190476,3773.33333333
84,3826.11764706,3587.52941176,3760.0
85,3830.93023256,3590.23255814,3742.3255814
86,3834.71264368,3595.17241379,3744.59770115
87,3837.72727273,3596.59090909,3743.86363636
88,3838.42696629,3592.80898876,3744.71910112
89,3839.77777778,3582.88888889,3742.44444444
