#Time [s],Throughput [req/s] - rep1,Throughput [req/s] - rep2,Throughput [req/s] - rep3
0,3360.0,3120.0,2960.0
1,4570.0,3950.0,4470.0
2,5093.33333333,4566.66666667,4520.0
3,5365.0,4930.0,4795.0
4,5500.0,5128.0,4956.0
5,5583.33333333,5243.33333333,5006.66666667
6,5617.14285714,5331.42857143,5108.57142857
7,5650.0,5365.0,5177.5
8,5682.22222222,5422.22222222,5242.22222222
9,5686.0,5470.0,5298.0
10,5696.36363636,5492.72727273,5327.27272727
11,5730.0,5523.33333333,5361.66666667
12,5736.92307692,5550.76923077,5398.46153846
13,5737.14285714,5574.28571429,5205.71428571
14,5754.66666667,5613.33333333,5110.66666667
15,5762.5,5623.75,5145.0
16,5764.70588235,5355.29411765,5176.47058824
17,5765.55555556,5230.0,5195.55555556
18,5760.0,5204.21052632,5229.47368421
19,5761.0,5241.0,5237.0
20,5743.80952381,5262.85714286,5250.47619048
21,5742.72727273,5281.81818182,5280.0
22,5756.52173913,5305.2173913,5300.0
23,5763.33333333,5335.83333333,5318.33333333
24,5764.8,5353.6,5329.6
25,5766.15384615,5376.15384615,5352.30769231
26,5752.59259259,5390.37037037,5365.92592593
27,5710.0,5412.14285714,5386.42857143
28,5693.79310345,5424.13793103,5391.03448276
29,5701.33333333,5390.66666667,5340.66666667
30,5703.87096774,5418.70967742,5360.64516129
31,5705.0,5443.125,5355.0
32,5703.63636364,5457.57575758,5364.24242424
33,5698.82352941,5474.70588235,5381.17647059
34,5692.57142857,5469.14285714,5385.71428571
35,5691.11111111,5472.22222222,5387.22222222
36,5693.51351351,5480.0,5400.54054054
37,5693.15789474,5482.10526316,5407.36842105
38,5687.17948718,5476.92307692,5412.30769231
39,5687.5,5490.5,5417.0
40,5680.0,5492.68292683,5429.75609756
41,5675.71428571,5499.52380952,5441.9047619
42,5679.06976744,5500.93023256,5451.62790698
43,5670.45454545,5505.45454545,5453.18181818
44,5677.33333333,5507.55555556,5456.44444444
45,5680.43478261,5509.56521739,5461.73913043
46,5682.55319149,5512.34042553,5465.53191489
47,5688.75,5513.75,5470.0
48,5693.06122449,5517.95918367,5474.28571429
49,5698.8,5514.0,5477.6
50,5700.78431373,5512.15686275,5441.96078431
51,5700.76923077,5520.0,5453.84615385
52,5701.50943396,5524.52830189,5453.96226415
53,5692.59259259,5518.14814815,5462.96296296
54,5697.45454545,5523.27272727,5461.09090909
55,5698.21428571,5525.35714286,5466.78571429
56,5670.87719298,5521.40350877,5466.66666667
57,5671.37931034,5511.72413793,5471.72413793
58,5672.88135593,5426.77966102,5440.0
59,5680.66666667,5342.33333333,5446.0
60,5673.7704918,5270.81967213,5451.47540984
61,5680.0,5216.12903226,5456.77419355
62,5678.0952381,5195.23809524,5460.0
63,5680.9375,5195.3125,5461.875
64,5684.0,5202.76923077,5464.92307692
65,5684.54545455,5210.3030303,5469.09090909
66,5686.56716418,5205.07462687,5467.46268657
67,5683.52941176,5210.88235294,5466.17647059
68,5684.92753623,5216.52173913,5473.04347826
69,5687.14285714,5225.42857143,5481.14285714
70,5687.32394366,5229.01408451,5485.91549296
71,5686.38888889,5236.38888889,5488.61111111
72,5689.04109589,5243.83561644,5497.53424658
73,5683.51351351,5251.08108108,5498.37837838
74,5688.8,5259.2,5501.6
75,5687.10526316,5267.36842105,5505.52631579
76,5687.01298701,5271.16883117,5510.38961039
77,5689.48717949,5278.71794872,5509.74358974
78,5685.56962025,5287.84810127,5514.43037975
79,5685.5,5294.25,5508.25
80,5669.38271605,5303.45679012,5511.60493827
81,5674.63414634,5300.73170732,5515.6097561
82,5658.55421687,5309.15662651,5518.31325301
83,5660.23809524,5253.80952381,5526.42857143
84,5652.94117647,5202.58823529,5510.11764706
85,5647.20930233,5212.79069767,5508.60465116
86,5610.11494253,5221.6091954,5503.2183908
87,5606.13636364,5228.18181818,5492.95454545
88,5606.96629213,5234.83146067,5497.52808989
89,5603.77777778,5243.55555556,5501.55555556
