#Time [s],Throughput [req/s] - rep1,Throughput [req/s] - rep2,Throughput [req/s] - rep3
0,3840.0,3540.0,3620.0
1,4690.0,4990.0,4340.0
2,4880.0,5400.0,4986.66666667
3,5060.0,5805.0,5000.0
4,5104.0,6224.0,5540.0
5,5483.33333333,6383.33333333,5776.66666667
6,5694.28571429,6491.42857143,6085.71428571
7,5750.0,6620.0,6120.0
8,5840.0,6644.44444444,5988.88888889
9,5916.0,6670.0,6064.0
10,5992.72727273,6472.72727273,6114.54545455
11,6053.33333333,6503.33333333,6136.66666667
12,6120.0,6615.38461538,6172.30769231
13,6210.0,6535.71428571,6178.57142857
14,6165.33333333,6501.33333333,6210.66666667
15,6257.5,6605.0,6138.75
16,6349.41176471,6627.05882353,6141.17647059
17,6451.11111111,6657.77777778,6167.77777778
18,6484.21052632,6626.31578947,6170.52631579
19,6493.0,6607.0,6202.0
20,6550.47619048,6569.52380952,6234.28571429
21,6608.18181818,6539.09090909,6258.18181818
22,6680.86956522,6542.60869565,6267.82608696
23,6730.83333333,6591.66666667,6264.16666667
24,6775.2,6672.0,6292.8
25,6789.23076923,6703.07692308,6311.53846154
26,6826.66666667,6718.51851852,6333.33333333
27,6872.85714286,6725.71428571,6362.14285714
28,6853.79310345,6740.0,6379.31034483
29,6867.33333333,6720.0,6390.66666667
30,6909.03225806,6747.74193548,6352.90322581
31,6949.375,6772.5,6357.5
32,6969.6969697,6787.87878788,6381.81818182
33,7010.58823529,6802.35294118,6239.41176471
34,7036.57142857,6801.71428571,6070.28571429
35,7036.66666667,6820.0,5910.55555556
36,7044.86486486,6838.37837838,5939.45945946
37,7061.57894737,6867.89473684,5976.84210526
38,7077.43589744,6856.92307692,5974.87179487
39,7088.0,6840.5,6037.0
40,7097.56097561,6858.04878049,6087.31707317
41,7112.38095238,6879.04761905,6106.66666667
42,7117.6744186,6896.74418605,6105.11627907
43,7131.81818182,6909.09090909,6135.45454545
44,7093.77777778,6927.55555556,6180.88888889
45,7070.43478261,6913.04347826,6233.47826087
46,7080.42553191,6870.21276596,6251.91489362
47,7110.0,6872.91666667,6299.16666667
48,7128.16326531,6890.20408163,6338.7755102
49,7125.6,6898.0,6354.0
50,7101.56862745,6900.39215686,6291.76470588
51,7111.15384615,6901.92307692,6189.23076923
52,7126.03773585,6913.58490566,6091.69811321
53,7145.18518519,6928.14814815,6074.07407407
54,7150.54545455,6941.45454545,6082.90909091
55,7165.0,6946.42857143,6072.14285714
56,7183.15789474,6937.19298246,6071.92982456
57,7217.24137931,6945.51724138,6078.96551724
58,7224.74576271,6952.20338983,6110.50847458
59,7244.33333333,6947.0,6130.0
60,7246.2295082,6931.47540984,6150.16393443
61,7266.12903226,6916.77419355,6140.64516129
62,7276.19047619,6923.17460317,6153.65079365
63,7296.5625,6867.8125,6170.625
64,7317.23076923,6888.30769231,6195.38461538
65,7340.60606061,6900.3030303,6225.15151515
66,7361.19402985,6903.88059701,6235.82089552
67,7347.05882353,6911.17647059,6250.0
68,7350.43478261,6896.8115942,6260.28985507
69,7297.71428571,6802.85714286,6286.85714286
70,7199.43661972,6711.54929577,6310.70422535
71,7103.88888889,6649.72222222,6317.77777778
72,7095.34246575,6668.21917808,6330.95890411
73,7105.94594595,6673.78378378,6343.51351351
74,7126.93333333,6692.8,6361.33333333
75,7134.47368421,6700.78947368,6376.57894737
76,7146.75324675,6709.61038961,6391.94805195
77,7126.66666667,6720.76923077,6395.38461538
78,7143.29113924,6681.7721519,6410.12658228
79,7163.25,6602.25,6398.0
80,7175.0617284,6584.44444444,6387.65432099
81,7186.58536585,6602.19512195,6313.65853659
82,7203.37349398,6613.73493976,6291.08433735
83,7206.9047619,6618.33333333,6295.23809524
84,7208.23529412,6636.0,6310.82352941
85,7218.13953488,6650.93023256,6320.69767442
86,7234.02298851,6676.32183908,6330.11494253
87,7241.59090909,6690.45454545,6338.40909091
88,7229.43820225,6704.71910112,6347.86516854
89,7240.44444444,6705.55555556,6364.88888889
