#Time [s],Throughput [req/s] - rep1,Throughput [req/s] - rep2,Throughput [req/s] - rep3
0,2340.0,1760.0,1940.0
1,2130.0,2100.0,2210.0
2,2260.0,2040.0,2440.0
3,2310.0,1865.0,2555.0
4,2484.0,2036.0,2604.0
5,2603.33333333,2243.33333333,2683.33333333
6,2671.42857143,2348.57142857,2754.28571429
7,2752.5,2382.5,2810.0
8,2773.33333333,2453.33333333,2844.44444444
9,2838.0,2528.0,2824.0
10,2863.63636364,2590.90909091,2840.0
11,2893.33333333,2636.66666667,2878.33333333
12,2915.38461538,2681.53846154,2910.76923077
13,2938.57142857,2711.42857143,2912.85714286
14,2929.33333333,2714.66666667,2917.33333333
15,2931.25,2736.25,2946.25
16,2944.70588235,2776.47058824,2954.11764706
17,2942.22222222,2775.55555556,2963.33333333
18,2940.0,2791.57894737,2961.05263158
19,2956.0,2806.0,2978.0
20,2963.80952381,2827.61904762,2981.9047619
21,2969.09090909,2845.45454545,2998.18181818
22,3001.73913043,2860.0,3008.69565217
23,3004.16666667,2880.0,3018.33333333
24,3028.0,2900.8,3016.0
25,3033.07692308,2911.53846154,3002.30769231
26,3048.14814815,2917.03703704,3009.62962963
27,3046.42857143,2915.0,3014.28571429
28,3057.24137931,2914.48275862,3031.72413793
29,3069.33333333,2904.66666667,3044.0
30,3067.09677419,2910.32258065,3045.80645161
31,3061.875,2913.125,3048.125
32,3050.90909091,2920.60606061,3041.21212121
33,3051.17647059,2937.64705882,3044.11764706
34,3065.14285714,2941.71428571,3050.85714286
35,3067.22222222,2961.11111111,3057.77777778
36,3066.48648649,2976.21621622,3059.45945946
37,3072.63157895,2987.89473684,3065.78947368
38,3065.12820513,2997.94871795,3073.33333333
39,3068.5,3003.0,3070.5
40,3060.48780488,3014.14634146,3078.53658537
41,3054.28571429,3027.61904762,3091.42857143
42,3052.09302326,3029.76744186,3103.25581395
43,3061.36363636,3030.0,3105.45454545
44,3070.22222222,3038.66666667,3108.44444444
45,3075.65217391,3049.56521739,3106.52173913
46,3072.34042553,3065.53191489,3102.9787234
47,3065.83333333,3079.16666667,3109.58333333
48,3063.26530612,3078.36734694,3113.46938776
49,3068.8,3076.8,3106.8
50,3067.05882353,3065.49019608,3098.82352941
51,3059.23076923,3061.92307692,3096.53846154
52,3056.60377358,3051.32075472,3092.45283019
53,3058.88888889,3053.7037037,3091.85185185
54,3066.18181818,3059.27272727,3087.27272727
55,3073.21428571,3057.5,3085.71428571
56,3084.21052632,3058.94736842,3090.1754386
57,3093.44827586,3062.06896552,3093.79310345
58,3100.6779661,3055.59322034,3097.28813559
59,3111.0,3054.66666667,3094.33333333
60,3117.04918033,3058.68852459,3094.09836066
61,3126.12903226,3063.5483871,3091.61290323
62,3128.57142857,3060.63492063,3093.33333333
63,3129.375,3062.5,3087.1875
64,3137.23076923,3061.23076923,3088.0
65,3141.21212121,3062.42424242,3092.12121212
66,3139.10447761,3067.46268657,3097.6119403
67,3138.52941176,3071.17647059,3105.29411765
68,3134.7826087,3081.15942029,3102.60869565
69,3141.71428571,3092.57142857,3099.42857143
70,3139.43661972,3099.71830986,3095.49295775
71,3140.55555556,3107.77777778,3095.55555556
72,3141.36986301,3113.15068493,3096.43835616
73,3143.24324324,3120.81081081,3094.32432432
74,3147.2,3124.8,3091.73333333
75,3148.15789474,3128.68421053,3087.63157895
76,3145.45454545,3131.16883117,3087.01298701
77,3146.66666667,3134.1025641,3084.87179487
78,3146.58227848,3136.96202532,3081.51898734
79,3151.75,3137.5,3085.0
80,3154.07407407,3139.75308642,3087.65432099
81,3148.7804878,3143.17073171,3088.04878049
82,3148.6746988,3146.26506024,3086.5060241
83,3146.19047619,3150.23809524,3085.47619048
84,3153.88235294,3156.94117647,3082.82352941
85,3160.69767442,3160.93023256,3075.34883721
86,3163.90804598,3162.98850575,3079.08045977
87,3166.13636364,3162.27272727,3083.40909091
88,3168.53932584,3163.82022472,3080.6741573
89,3173.11111111,3164.22222222,3078.66666667
