#Time [s],Throughput [req/s] - rep1,Throughput [req/s] - rep2,Throughput [req/s] - rep3
0,3120.0,1600.0,2220.0
1,3540.0,3070.0,3310.0
2,4266.66666667,3420.0,3700.0
3,4625.0,3790.0,3940.0
4,4840.0,4220.0,4364.0
5,5043.33333333,4506.66666667,4556.66666667
6,5088.57142857,4700.0,4711.42857143
7,5225.0,4837.5,4797.5
8,5297.77777778,4948.88888889,4862.22222222
9,5326.0,5036.0,4954.0
10,5369.09090909,5101.81818182,5027.27272727
11,5440.0,5160.0,5086.66666667
12,5460.0,5220.0,5141.53846154
13,5495.71428571,5265.71428571,5184.28571429
14,5525.33333333,5320.0,5229.33333333
15,5557.5,5370.0,5273.75
16,5569.41176471,5397.64705882,5305.88235294
17,5566.66666667,5423.33333333,5322.22222222
18,5597.89473684,5422.10526316,5349.47368421
19,5620.0,5393.0,5363.0
20,5622.85714286,5420.0,5373.33333333
21,5646.36363636,5449.09090909,5400.90909091
22,5638.26086957,5460.86956522,5400.86956522
23,5645.83333333,5475.83333333,5400.83333333
24,5655.2,5487.2,5400.0
25,5643.84615385,5503.07692308,5412.30769231
26,5665.18518519,5505.92592593,5422.96296296
27,5687.14285714,5526.42857143,5432.14285714
28,5700.68965517,5539.31034483,5431.72413793
29,5708.66666667,5554.0,5436.66666667
30,5720.64516129,5558.06451613,5458.06451613
31,5722.5,5566.25,5467.5
32,5729.6969697,5572.12121212,5480.0
33,5730.0,5569.41176471,5487.05882353
34,5741.71428571,5582.85714286,5497.14285714
35,5743.88888889,5601.11111111,5500.55555556
36,5754.59459459,5601.62162162,5501.08108108
37,5761.05263158,5603.68421053,5506.31578947
38,5770.25641026,5620.51282051,5487.69230769
39,5782.0,5633.0,5491.5
40,5790.24390244,5633.65853659,5495.6097561
41,5785.71428571,5641.9047619,5501.42857143
42,5786.97674419,5653.48837209,5504.65116279
43,5775.0,5650.90909091,5513.18181818
44,5780.44444444,5656.88888889,5519.55555556
45,5781.73913043,5655.65217391,5523.47826087
46,5788.08510638,5661.27659574,5530.21276596
47,5785.0,5667.91666667,5532.5
48,5789.79591837,5672.65306122,5535.91836735
49,5793.2,5672.8,5529.6
50,5793.7254902,5681.17647059,5536.47058824
51,5793.46153846,5684.61538462,5543.46153846
52,5807.54716981,5689.81132075,5542.64150943
53,5809.25925926,5689.25925926,5548.88888889
54,5810.54545455,5695.27272727,5554.54545455
55,5810.71428571,5701.07142857,5558.21428571
56,5813.33333333,5698.59649123,5564.56140351
57,5815.51724138,5706.20689655,5567.93103448
58,5821.01694915,5710.16949153,5567.11864407
59,5826.33333333,5714.33333333,5571.33333333
60,5830.16393443,5715.40983607,5576.06557377
61,5835.16129032,5674.19354839,5576.4516129
62,5839.68253968,5653.96825397,5586.03174603
63,5844.375,5658.75,5587.5
64,5842.76923077,5660.30769231,5585.53846154
65,5840.90909091,5656.36363636,5584.54545455
66,5845.97014925,5656.41791045,5580.89552239
67,5850.0,5659.41176471,5582.05882353
68,5852.17391304,5655.65217391,5581.15942029
69,5856.28571429,5657.71428571,5584.0
70,5860.84507042,5658.5915493,5580.0
71,5860.27777778,5664.16666667,5580.27777778
72,5828.49315068,5662.73972603,5585.20547945
73,5758.37837838,5610.81081081,5589.45945946
74,5690.13333333,5544.53333333,5595.46666667
75,5623.68421053,5480.0,5596.57894737
76,5558.96103896,5417.14285714,5598.44155844
77,5495.8974359,5355.8974359,5601.02564103
78,5453.67088608,5296.20253165,5609.36708861
79,5462.75,5277.5,5607.25
80,5469.38271605,5288.14814815,5545.92592593
81,5474.3902439,5295.85365854,5486.09756098
82,5485.06024096,5312.53012048,5427.71084337
83,5474.76190476,5326.42857143,5370.71428571
84,5418.35294118,5335.52941176,5315.05882353
85,5362.79069767,5344.65116279,5260.69767442
86,5308.50574713,5345.74712644,5218.62068966
87,5255.45454545,5349.77272727,5225.45454545
88,5203.59550562,5355.50561798,5232.80898876
89,5210.88888889,5361.77777778,5237.55555556
