#Time [s],Throughput [req/s] - rep1,Throughput [req/s] - rep2,Throughput [req/s] - rep3
0,2300.0,3460.0,2700.0
1,3830.0,3960.0,3340.0
2,4000.0,4733.33333333,3653.33333333
3,4435.0,4845.0,4020.0
4,4652.0,5176.0,4344.0
5,4823.33333333,5366.66666667,4523.33333333
6,4931.42857143,5437.14285714,4625.71428571
7,5000.0,5500.0,4742.5
8,5068.88888889,5502.22222222,4811.11111111
9,5120.0,5546.0,4864.0
10,5165.45454545,5587.27272727,4860.0
11,5221.66666667,5600.0,4885.0
12,5232.30769231,5583.07692308,4938.46153846
13,5255.71428571,5600.0,4962.85714286
14,5269.33333333,5622.66666667,4994.66666667
15,5302.5,5615.0,5016.25
16,5314.11764706,5601.17647059,5024.70588235
17,5337.77777778,5604.44444444,5063.33333333
18,5365.26315789,5571.57894737,5097.89473684
19,5389.0,5583.0,5112.0
20,5402.85714286,5577.14285714,5114.28571429
21,5420.90909091,5578.18181818,5119.09090909
22,5425.2173913,5586.08695652,5132.17391304
23,5432.5,5577.5,5144.16666667
24,5425.6,5573.6,5164.8
25,5420.76923077,5569.23076923,5182.30769231
26,5439.25925926,5580.0,5194.07407407
27,5442.85714286,5581.42857143,5215.0
28,5442.06896552,5589.65517241,5226.20689655
29,5458.0,5592.66666667,5232.0
30,5456.77419355,5593.5483871,5245.80645161
31,5468.75,5597.5,5253.75
32,5475.15151515,5598.18181818,5260.60606061
33,5487.05882353,5608.82352941,5267.64705882
34,5485.14285714,5605.14285714,5269.14285714
35,5496.66666667,5602.77777778,5260.0
36,5491.89189189,5608.10810811,5254.59459459
37,5494.73684211,5588.94736842,5252.10526316
38,5498.46153846,5593.33333333,5258.97435897
39,5499.5,5600.0,5260.5
40,5523.90243902,5598.53658537,5264.3902439
41,5564.76190476,5591.9047619,5262.85714286
42,5606.04651163,5596.27906977,5273.48837209
43,5622.27272727,5599.09090909,5283.63636364
44,5623.55555556,5599.11111111,5298.66666667
45,5630.86956522,5596.52173913,5306.08695652
46,5624.25531915,5603.40425532,5314.46808511
47,5620.83333333,5602.08333333,5295.41666667
48,5624.08163265,5599.18367347,5273.87755102
49,5617.6,5601.6,5278.4
50,5585.09803922,5601.96078431,5283.1372549
51,5589.61538462,5603.07692308,5268.84615385
52,5592.45283019,5604.52830189,5275.47169811
53,5574.81481481,5601.48148148,5280.74074074
54,5563.27272727,5603.27272727,5292.36363636
55,5564.28571429,5600.71428571,5298.21428571
56,5562.45614035,5585.96491228,5301.75438596
57,5542.06896552,5564.48275862,5297.5862069
58,5531.52542373,5563.38983051,5310.16949153
59,5525.0,5565.33333333,5290.33333333
60,5537.37704918,5568.85245902,5278.36065574
61,5545.48387097,5536.77419355,5286.77419355
62,5549.20634921,5535.87301587,5289.84126984
63,5553.75,5538.75,5288.4375
64,5557.53846154,5538.15384615,5293.53846154
65,5554.54545455,5533.03030303,5299.39393939
66,5551.64179104,5530.44776119,5307.1641791
67,5548.23529412,5529.11764706,5315.58823529
68,5564.05797101,5523.76811594,5318.55072464
69,5565.71428571,5519.14285714,5313.14285714
70,5562.81690141,5519.15492958,5322.53521127
71,5563.88888889,5515.27777778,5325.83333333
72,5563.56164384,5516.71232877,5329.5890411
73,5552.7027027,5520.81081081,5331.62162162
74,5556.0,5520.0,5348.0
75,5545.0,5451.84210526,5343.42105263
76,5529.61038961,5385.19480519,5365.97402597
77,5536.66666667,5320.25641026,5376.92307692
78,5535.18987342,5256.96202532,5380.50632911
79,5522.5,5195.25,5385.25
80,5527.65432099,5159.25925926,5377.77777778
81,5524.14634146,5190.48780488,5338.04878049
82,5542.1686747,5219.27710843,5277.59036145
83,5560.71428571,5231.19047619,5236.19047619
84,5578.35294118,5232.70588235,5251.76470588
85,5597.6744186,5231.62790698,5256.51162791
86,5601.83908046,5241.6091954,5266.20689655
87,5598.18181818,5244.54545455,5274.31818182
88,5594.60674157,5246.29213483,5276.40449438
89,5590.66666667,5250.22222222,5274.88888889
