#Keys,Mean Pre-Processing Time [ms],Std Pre-Processing Time
1.0,0.00315176364402,7.58229532307e-05
3.0,0.00409141533559,0.000101798355826
6.0,0.00430627379995,6.94600976852e-05
9.0,0.00469177921684,7.31052609739e-05
