#Clients	MNT	WIQ	PrP	SST	PsP
2	0.0175316205	0.0150655781	0.0123424409	0.7767990501	0.0096544723
10	0.0145829479	0.0567557821	0.0135602808	0.7395645933	0.0096003959
16	0.016053357	0.082708509	0.0162161921	0.7921899375	0.0094561145
30	0.0169621383	0.130677277	0.0165914006	0.7516679885	0.0093494411
44	0.0194386466	0.1605571724	0.0207100712	0.8008856528	0.0092778825
56	0.0212590405	0.1574725063	0.0218013204	0.9270095816	0.0088165186
64	0.022516412	0.1659740862	0.0236173878	1.0057213263	0.0090787428
84	0.0242702273	0.2037769244	0.0290203866	1.1117328814	0.0092225002
104	0.023601638	0.2273557174	0.0246014275	1.1554909772	0.0089596413
128	0.0311578197	0.2745585859	0.0471353911	1.2118738964	0.0093302925
