#Clients,Mean Pre-Processing Time - 8 workers [ms],Std Pre-Processing Time - 8 workers,Mean Pre-Processing Time - 16 workers [ms],Std Pre-Processing Time - 16 workers,Mean Pre-Processing Time - 32 workers [ms],Std Pre-Processing Time - 32 workers,Mean Pre-Processing Time - 64 workers [ms],Std Pre-Processing Time - 64 workers
2.0,0.00384150680221,2.33494437512e-05,0.00395379799351,3.15543449758e-05,0.00397024214249,8.63088244649e-05,0.00408013617842,2.92697310797e-05
10.0,0.00211972075903,1.43068878358e-05,0.00239428433479,3.44855451302e-05,0.00270500844681,5.4195948674e-05,0.00301064918946,5.68296252087e-05
16.0,0.00198059730755,2.49984804811e-05,0.00216290159605,8.95113692881e-05,0.00227180423152,7.81554007856e-05,0.00274717161163,0.000110269875532
30.0,0.00196157133873,0.00012791724202,0.00212645361835,4.78257776434e-05,0.00213441012654,3.20597422169e-05,0.00234900461495,6.11388374938e-05
44.0,0.00175151596571,5.44901523386e-05,0.00227835697587,8.44650126034e-05,0.00216461434307,9.58871817546e-05,0.00222908704133,4.13286319498e-05
56.0,0.00161483036916,2.79183643222e-05,0.00184029860278,6.21368774899e-05,0.0020202480116,3.48559105117e-05,0.00213813655252,7.55025281966e-05
64.0,0.0016136365391,1.20844631777e-05,0.00172989080795,2.45078430472e-05,0.0020761692635,3.42113600087e-05,0.00220503676715,1.25617694783e-05
84.0,0.00161644403785,2.48995965433e-05,0.00167515089594,3.22461215891e-05,0.0020032623256,7.2293499931e-06,0.00218696466625,8.68847209468e-05
104.0,0.00165842186024,3.90888121296e-05,0.00164166274028,1.75621016019e-05,0.00191357227896,8.55188636627e-06,0.00211250144638,1.72363049301e-05
128.0,0.00165283449855,2.94468368413e-05,0.00160860731867,2.24524446813e-05,0.00182425684269,0.000128191892624,0.00204277410592,3.94992748111e-05
