#Clients	MNT	WIQ	PrP	SST	PsP
2	0.006654828	0.0134996508	0.0038210935	0.8250555361	0.0271550012
10	0.0035602249	0.0629534869	0.0021065644	0.7946365431	0.020207593
16	0.0035765351	0.0933149466	0.0019680537	0.8051946768	0.0276565122
30	0.0035432498	0.3619182458	0.0019414399	0.8850500877	0.0361430449
44	0.0033703473	1.0553724462	0.0017389958	0.991538924	0.0507694807
56	0.0031360565	1.7282480903	0.0016092758	1.0235159973	0.022761027
64	0.0032179725	2.3808153876	0.0016057982	1.0735188165	0.0252286616
84	0.0031952837	3.8119194276	0.0016102074	1.1409191785	0.027404859
104	0.0032245571	5.5062672981	0.0016507786	1.2194356096	0.027323613
128	0.0032439312	7.7964973496	0.0016464308	1.2844109026	0.022131184
