#Clients,Mean NetThread Processing Time - 8 workers [ms],Std NetThread Processing Time - 8 workers,Mean NetThread Processing - 16 workers [ms],Std NetThread Processing Time - 16 workers,Mean NetThread Processing - 32 workers [ms],Std NetThread Processing Time - 32 workers,Mean NetThread Processing - 64 workers [ms],Std NetThread Processing Time - 64 workers
2.0,0.00668407643548,4.94447144146e-05,0.00665777168131,3.80625100454e-05,0.00677129567809,0.000135187736246,0.00702088960044,4.89192485358e-05
10.0,0.0035731493857,2.0463752247e-05,0.00360222932396,2.73674291537e-05,0.00363280535196,3.72267030899e-05,0.0037414340489,7.07498014712e-05
16.0,0.0036002936567,7.1324454395e-05,0.0038723336953,1.84494736541e-05,0.00370768022185,2.42573161922e-05,0.00363432493285,7.05006071755e-05
30.0,0.00356741944891,0.000212900731722,0.00360447944335,4.94035737617e-05,0.00376358613501,6.88265228439e-05,0.00353311022306,2.06500899761e-05
44.0,0.00338633971774,4.16466051871e-05,0.00365468655214,5.1193752407e-05,0.00394715212897,6.97189285674e-05,0.00366199120775,0.000160070035809
56.0,0.00314668891596,1.71313742499e-05,0.00340473237954,0.000110870743999,0.00338893417474,0.000216028047935,0.00349447849793,0.000149678497242
64.0,0.00322974274433,1.24671009516e-05,0.0033327888563,6.33786701842e-05,0.00369414721118,9.79793644966e-05,0.00347487793749,3.84168158512e-05
84.0,0.00320529448428,2.30271818195e-05,0.00308407334748,9.12854365015e-05,0.00418012418825,0.000473865505234,0.0038151558258,2.61143123063e-05
104.0,0.00323700639684,2.85624600351e-05,0.00310218042292,0.0001040317571,0.00344491777413,0.000137869212523,0.00393208658557,0.000236910819094
128.0,0.00325363318422,4.4770916484e-05,0.00302516326992,3.83913361034e-05,0.0035234354651,0.000212923141578,0.0037422678299,0.000165005652926
