#Clients,Mean Response Time - 8 workers [ms],Std Response Time - 8 workers,Mean Response Time - 16 workers [ms],Std Response Time - 16 workers,Mean Response Time - 32 workers [ms],Std Response Time - 32 workers,Mean Response Time - 64 workers [ms],Std Response Time - 64 workers
2.0,0.899753756094,0.022810704658,0.884957383765,0.0152389683625,0.893615914939,0.0288678753441,0.834796508328,0.0298602288296
10.0,0.903870342477,0.0328580006784,0.910190215094,0.00919852081655,0.840689906833,0.0320461385148,0.846201798841,0.00313111113943
16.0,0.96456868356,0.0275074009581,0.926882842586,0.0160396402077,0.857144158374,0.00533941156216,0.846885327986,0.0315058850285
30.0,1.31803678728,0.0864393613594,1.24186499874,0.0896723156155,1.24155258941,0.047784189762,1.28824406499,0.0374570452217
44.0,2.14956098751,0.230371813773,2.0337058311,0.176453337668,2.02796580684,0.155759760314,1.9271300604,0.35267228643
56.0,2.82463607912,0.425124023116,3.08400505229,0.040750677783,3.20296260197,0.182833730926,2.92218499892,0.461370903749
64.0,3.56645314141,0.22448278669,3.44809828779,0.459899061233,3.61075585361,0.0743736186641,3.86753834357,0.272526504864
84.0,5.1022712808,0.195039932057,4.85665892826,0.73579466669,4.67432042668,0.493290652145,5.28589428265,0.108275136548
104.0,6.85572088383,0.069247470972,5.74617129702,0.347594871804,6.21014989821,0.486338556641,6.85188312739,0.312341111344
128.0,9.20750462889,0.0584742827109,8.21587305065,0.772639691863,8.56188986753,0.628065597028,8.21857712608,0.993610393001
