#Clients,Mean Server Service Time - 8 workers [ms],Std Server Service Time - 8 workers,Mean Server Service Time - 16 workers [ms],Std Server Service Time - 16 workers,Mean Server Service Time - 32 workers [ms],Std Server Service Time - 32 workers,Mean Server Service Time - 64 workers [ms],Std Server Service Time - 64 workers
2.0,0.773096216044,0.0146867869401,0.766128291837,0.00906235354043,0.803160551987,0.0364277919417,0.762169483499,0.0874612517127
10.0,0.813002722064,0.0272320656575,0.823770211062,0.0407826507849,0.693803720999,0.00609515746413,0.731389830681,0.0353234622111
16.0,0.892299312996,0.0650532921798,0.814749137357,0.020062889308,0.767331330414,0.0133489280571,0.784563605564,0.0469908351236
30.0,0.950197569699,0.051282645453,0.952959166854,0.00665447190375,0.833336202044,0.0411696000483,0.743177177733,0.00849522911088
44.0,0.958614648337,0.0464748448511,0.902710678189,0.0636564662254,0.911519352595,0.0435330119216,0.792416078517,0.0276131787913
56.0,1.00098067197,0.0482313547842,0.942819670375,0.0453672643952,0.992303341526,0.0420189590804,0.913032948278,0.0587562578734
64.0,0.985127504795,0.0277632021093,1.00129840445,0.04760809826,0.993407599572,0.0501795458438,0.98921992848,0.0272325665669
84.0,1.01107336786,0.00622932223942,1.18859145192,0.0180599443441,1.08915659801,0.0815293806152,1.09470657355,0.0311626830748
104.0,0.96857721645,0.027234968717,1.05973666737,0.112082372473,1.18846382011,0.106945063133,1.12936418699,0.0273395968305
128.0,0.965056930928,0.0220158441338,1.00073772466,0.0435008435932,1.23859586532,0.0847969604501,1.18812916986,0.0626556464663
