#Clients,Mean Pre-Processing Time - 8 workers [ms],Std Pre-Processing Time - 8 workers,Mean Pre-Processing Time - 16 workers [ms],Std Pre-Processing Time - 16 workers,Mean Pre-Processing Time - 32 workers [ms],Std Pre-Processing Time - 32 workers,Mean Pre-Processing Time - 64 workers [ms],Std Pre-Processing Time - 64 workers
2.0,0.0115405275878,0.000525595971126,0.012420848494,0.00123068058584,0.0118481942772,0.000426671961269,0.0122106285965,0.000224151630388
10.0,0.0121096562432,0.00176439788596,0.0131737406681,0.000866418673677,0.0151552427888,0.000106253702998,0.0133229440507,0.00122978527243
16.0,0.0161238312885,0.00117773973792,0.01942328571,0.00170130879357,0.0142435961078,0.0001191334337,0.015548377712,0.00130806315257
30.0,0.0199968045722,0.00393788147897,0.0210442925891,0.00147792767076,0.0187133528972,0.00412853863347,0.0159873725537,0.00279142485726
44.0,0.0220468573609,0.00443528370901,0.0343690499086,0.0172570439586,0.0200281574687,0.00312456864917,0.0200419996725,0.00623369756166
56.0,0.0195344934343,0.00337501739852,0.0235590548942,0.00447764393098,0.0298266430602,0.0068687277904,0.0206713749352,0.00232083641129
64.0,0.0247698019234,0.001211582888,0.0211347235031,0.00364256204065,0.0193580445024,0.00812528359011,0.0221362375886,0.00688246733165
84.0,0.0286622519621,0.00704758102505,0.0751094413927,0.00674409093323,0.0482393097019,0.0296899130242,0.0274815805921,0.00648360369087
104.0,0.0209662799136,0.00434870636585,0.0467379214474,0.0254176786985,0.0416529242048,0.0192374074176,0.0234245583364,0.00376786377236
128.0,0.0233358195495,0.00674043449972,0.0378273027744,0.0159746953408,0.0450589491106,0.0155506811165,0.0444295806788,0.0193274310484
