#Clients,Mean Post-Processing Time - 8 workers [ms],Std Post-Processing Time - 8 workers,Mean Post-Processing Time - 16 workers [ms],Std Post-Processing Time - 16 workers,Mean Post-Processing Time - 32 workers [ms],Std Post-Processing Time - 32 workers,Mean Post-Processing Time - 64 workers [ms],Std Post-Processing Time - 64 workers
2.0,0.0272664057236,0.000231131014479,0.0270775225025,0.000427280053271,0.0269642589802,9.56809960445e-05,0.0268470136263,0.00054727660766
10.0,0.0203122683361,0.000259195031524,0.0218439779687,0.00051584687462,0.0220360530633,0.000519301515086,0.0224747632966,0.000314586411626
16.0,0.0279860776349,0.000114677685451,0.0291128747536,0.000258608231158,0.0301834868489,0.00196808632087,0.035085565387,0.00109271609023
30.0,0.0367267525561,0.0035078274817,0.0466440049927,0.0020507114447,0.0452570149318,0.00212914763949,0.0496747845404,0.00308990114088
44.0,0.05165266328,0.00413229011556,0.0922760304781,0.00380383518066,0.130162056718,0.00530794111026,0.128028619602,0.00753002186181
56.0,0.0229294784304,0.000431622662918,0.0246623410241,0.000212734996429,0.0297800139527,0.00219557186851,0.0289530234597,0.00179978645775
64.0,0.0254768385771,9.69327276406e-05,0.0266062923214,0.000914921729538,0.0414650439807,0.0035947465918,0.0575541945089,0.00890699385637
84.0,0.0276271377701,4.31112708727e-05,0.0321380758048,0.00116179460861,0.0470293251409,0.0015451591637,0.0860694206869,0.0136319548978
104.0,0.027609752218,0.000523411312683,0.02845514079,0.00121841230448,0.0469537896449,0.000984089195876,0.110927950522,0.0111333613758
128.0,0.02227387578,0.000690127155329,0.0206098907938,0.0006821996352,0.0222271336675,0.000175600771398,0.0312601662611,0.00292045764027
