#Clients,Mean Wait-In-Queue Time - 8 workers [ms],Std Wait-In-Queue Time - 8 workers,Mean Wait-In-Queue Time - 16 workers [ms],Std Wait-In-Queue Time - 16 workers,Mean Wait-In-Queue Time - 32 workers [ms],Std Wait-In-Queue Time - 32 workers,Mean Wait-In-Queue Time - 64 workers [ms],Std Wait-In-Queue Time - 64 workers
2.0,0.0137284619144,0.000175695556358,0.0143731183393,5.89777519367e-05,0.0145505581073,7.85673049741e-05,0.0149928164869,9.60256090207e-05
10.0,0.0397373246119,0.000236703376574,0.0472150800311,0.00556115380738,0.0614407387425,0.00202072680081,0.0561648611056,0.00149220140746
16.0,0.0661604545547,0.00683067485777,0.0687793608691,0.00525401230205,0.0778618040901,0.00177613159996,0.0815182846452,0.00293107993048
30.0,0.363704724377,0.0207701739776,0.150588533233,0.0068498710344,0.11916784807,0.011202984311,0.128341530333,0.0054984963522
44.0,0.883389586158,0.0659593414654,0.199561737715,0.0136120516714,0.157822476337,0.00526211197346,0.157927629592,0.00241065615339
56.0,1.58625823927,0.0770186169441,0.305889241819,0.00691703438957,0.178012505695,0.00879321743016,0.152632142395,0.0164493615877
64.0,2.00787250252,0.0930129098642,0.369624755743,0.0236556119542,0.170219773231,0.00961713616975,0.160713345146,0.0198988917337
84.0,3.18934349543,0.0567554569918,0.669557625507,0.011744795248,0.235356789056,0.00504567146792,0.198799095383,0.00343842494132
104.0,3.90516715153,0.225863329577,1.03863745326,0.0659072676631,0.317780721735,0.0157758451124,0.221524643345,0.00791790013374
128.0,5.01985140725,0.224760957458,1.3950048568,0.062404433441,0.409871759038,0.00677592325847,0.266043808984,0.00757895248501
