#Clients,Mean Queue Size - 8 workers,Std Queue Size - 8 workers,Mean Queue Size - 16 workers,Std Queue Size - 16 workers,Mean Queue Size - 32 workers,Std Queue Size - 32 workers,Mean Queue Size - 64 workers,Std Queue Size - 64 workers
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,1.46893619147,0.044935750631,1.39801810093,0.0163810467202,1.33893115126,0.0899471170562,1.46542449132,0.00804377982357
16.0,2.15803961912,0.0418158118592,1.9878076143,0.0286870988401,2.02886598274,0.0828124474671,2.36234230995,0.0544500167414
30.0,3.15819175857,0.0723472677696,3.83206370691,0.00461284058885,3.63301983691,0.0265886326709,3.83998695021,0.0636492330742
44.0,6.88629222896,0.0327010584645,4.43333878631,0.0616593086955,4.17974129735,0.0252536371098,4.17832132359,0.0879284198429
56.0,11.0817532658,0.0763721810006,5.92451541018,0.144959775448,6.69013217906,0.281017586168,6.68222433137,0.105466545674
64.0,14.9028446056,0.152301441084,6.72521558681,0.0790628095274,7.25034720586,0.176457812983,7.41675417363,0.0901604936517
84.0,23.4633854249,0.300617937328,11.3916635203,0.233265636102,7.77884473089,0.275726893517,8.56153070966,0.108564852143
104.0,31.9605613624,0.161514044802,18.2527650842,0.316967409654,10.2851705143,0.395870352857,9.67346258435,0.371402793393
128.0,43.4093740052,0.130587324906,27.772967623,0.969669137014,13.1226966117,0.243242445985,13.8676904575,0.493177485985
