#Number of Clients,Mean Throughput [req/s] - 8 WORKERS,Std Dev Throughput - 8 WORKERS,Response Time [ms] - 8 WORKERS,Mean Throughput [req/s] - 16 WORKERS,Std Dev Throughput - 16 WORKERS,Response Time [ms] - 16 WORKERS,Mean Throughput [req/s] - 32 WORKERS,Std Dev Throughput - 32 WORKERS,Response Time [ms] - 32 WORKERS,Mean Throughput [req/s] - 64 WORKERS,Std Dev Throughput - 64 WORKERS,Response Time [ms] - 64 WORKERS
2,1133.33133943,58.0851559239,1.76470898705,1113.4672982,38.9259961777,1.79619105405,1103.07457641,16.1028667952,1.8131140385,2105.07513559,0.0,0.950084852644
10,5034.51435696,81.955748157,1.98628890316,4695.33893272,384.966063891,2.12977170409,5373.16866343,34.911340367,1.86109921843,5255.33683539,171.903612544,1.90282760425
16,7074.59999717,234.061060771,2.26161196483,7609.71022489,125.322241411,2.10257677719,7904.04106788,98.4433901904,2.02428098015,7894.49457564,196.425826074,2.02672886107
30,9676.32528737,141.560580636,3.1003505059,10136.7248173,128.739375869,2.95953580084,8605.15756982,2903.07272813,3.48628130939,11040.3881263,640.456945529,2.71729577409
44,10927.0005002,179.70464316,4.0267226124,11942.0232304,519.82035938,3.68446779505,12586.9734218,108.791674388,3.49567751719,12710.7691839,142.045060404,3.46163157896
56,11014.2022272,135.226047305,5.08434463475,13220.7686069,458.73633086,4.23575978561,13389.4936152,408.98372195,4.18238371139,13620.0130158,979.517677489,4.11159665818
64,11315.4967448,267.687248765,5.65596026791,14030.4206728,372.561367618,4.5615168278,13548.5182744,1160.57401044,4.72376378758,14239.520076,1007.21202951,4.49453349962
84,11390.9771132,315.492629118,7.37425763966,13843.6708739,461.136357902,6.06775477148,15014.3768297,671.759079714,5.5946377897,15810.8679572,406.014730223,5.3128013103
104,12407.1076798,69.6109298133,8.38229204452,15040.5999488,285.235283205,6.91461779147,16410.9073866,175.810689518,6.3372486085,16917.084753,350.853069129,6.14763131584
128,12971.7984558,40.6173018552,9.86756003312,15664.1300702,1090.63636912,8.17153582272,17084.7333499,431.308745527,7.49206893539,16832.4470241,986.468548474,7.6043607811
