#Clients	MNT	WIQ	PrP	SST	PsP
2	0.0068233599	0.0143670765	0.0040055788	0.8435948822	0.0272179468
10	0.0036494805	0.0698334862	0.0027328854	0.740926687	0.0221900293
16	0.0037397188	0.0905106786	0.0023020798	0.7126674481	0.0306153254
30	0.0038718726	0.1480972119	0.0021781486	1.012849557	0.046249074
44	0.0040530669	0.166367085	0.0021980591	1.6856269249	0.1320311814
56	0.0034495841	0.2090639583	0.0020427092	2.9161471462	0.0303316854
64	0.0037602503	0.2234184695	0.0021011131	3.2865696851	0.0424819384
84	0.0042593517	1.1020776113	0.002023591	3.5746556564	0.0483048975
104	0.0035102406	2.1748535776	0.0019292775	4.0369409503	0.0485070866
128	0.0035630497	3.9697894345	0.001841028	4.6464723341	0.0225213692
