#Clients	MNT	WIQ	PrP	SST	PsP
2	0.0165581375	0.0136687406	0.0114556839	0.763332345	0.0112709968
10	0.0131754381	0.0386851499	0.0119400577	0.8056021765	0.0085533766
16	0.0162035801	0.0646420961	0.0157810041	0.885351004	0.0084772423
30	0.0160176213	0.3607517999	0.0194475898	0.9436443888	0.0106029839
44	0.0146931679	0.8728423909	0.0214434821	0.9489838999	0.0099430492
56	0.0135824704	1.5705054494	0.0191953541	0.9939677463	0.0100136339
64	0.0147107561	1.9846631596	0.0242233397	0.9765465752	0.0101643224
84	0.0155339598	3.1499255402	0.0279930357	1.0022073779	0.0108824903
104	0.013023667	3.8686759573	0.0205998942	0.9620594632	0.0104392576
128	0.013839957	4.9610545559	0.0228619655	0.9567475178	0.0109288564
