#Clients	MNT	WIQ	PrP	SST	PsP
2	0.0175554517	0.014440273	0.0125482373	0.7803543796	0.011321649
10	0.0148502207	0.0481099234	0.0135696712	0.8332958708	0.0093946715
16	0.0208901306	0.0708449935	0.0200755989	0.8214591576	0.0095943443
30	0.0195523983	0.1535048528	0.0217153008	0.9628402277	0.0102825429
44	0.0262619281	0.2041371748	0.0356237519	0.917194004	0.0098935157
56	0.0209550798	0.3108182165	0.0246602001	0.9558482746	0.0101596476
64	0.020822458	0.3747640877	0.0223380256	1.0134928183	0.0103165358
84	0.0384295762	0.6823512197	0.077168168	1.2062399145	0.0110209978
104	0.0268897613	1.0565516342	0.0508221324	1.076642585	0.0106897002
128	0.0199172207	1.424437506	0.0406084589	1.017259293	0.0102876095
