#Client	MNT	WIQ	PrP	SST	PsP	RspT	RespT_std
4	0.0183350756	0.0151452015	0.0128829559	1.940663617	0.0100541706	2.0035186055	0.0077087949
20	0.0148804036	0.0571607006	0.0145816998	1.9343880632	0.011348373	2.0490202028	0.0052664399
32	0.0166101143	0.0714524329	0.0156772356	1.9943508681	0.0108415463	2.1278618932	0.0529748387
60	0.0238325517	0.1367882504	0.0238408854	2.4234509869	0.0114633955	2.6655066451	0.0967350839
88	0.0323976354	0.1664512668	0.0327128119	3.1725055763	0.0110631369	3.4954051148	0.0269085912
112	0.0335041597	0.2015185222	0.0345244064	3.8198778131	0.0107989328	4.200063024	0.1223474023
128	0.0382660288	0.2050785332	0.0379496475	3.9251830292	0.0104527494	4.3268277592	0.1040214396
168	0.0250542994	0.588231839	0.0260110727	4.5137348992	0.0107286701	5.2626554954	0.0632494656
208	0.0370830791	0.8399683589	0.0590341671	4.8187992642	0.0110897523	5.9926948242	0.0914028932
256	0.0292508757	2.0191700211	0.1137402968	5.2559781493	0.0111053783	7.6837598846	0.1105784344
