#Clients,Mean NetThread Processing Time - 8 workers [ms],Std NetThread Processing Time - 8 workers,Mean NetThread Processing - 16 workers [ms],Std NetThread Processing Time - 16 workers,Mean NetThread Processing - 32 workers [ms],Std NetThread Processing Time - 32 workers,Mean NetThread Processing - 64 workers [ms],Std NetThread Processing Time - 64 workers
4.0,0.0173514449814,0.000323020289566,0.0181221980266,0.000487965732635,0.0172459074327,0.000439423540537,0.0183350755769,0.000382276076101
20.0,0.0152857302768,0.000284253329266,0.0160336623826,0.000455585698534,0.0146246876776,0.000404741100629,0.0148804036188,0.000206089181047
32.0,0.0126438814418,0.000773720529374,0.0177975897688,0.00231638547653,0.0191064910926,0.00385374446686,0.0166101142538,0.00118482898118
60.0,0.0117378424822,0.000190177111169,0.0210896388692,0.00183567595661,0.0212742668922,0.00157966623396,0.0238325516508,0.00678052081834
88.0,0.0120650335246,0.000608793815806,0.0123980864339,0.0002402059766,0.0296795107135,0.00163343012899,0.0323976354424,0.00383040280134
112.0,0.0119130695852,0.000394537418605,0.013410089004,0.00205227998964,0.0279052691375,0.00536622087847,0.0335041597222,0.0104611529707
128.0,0.0118469575438,0.000607839447355,0.011334917634,0.000990347726979,0.0215735519852,0.00377659338632,0.0382660287762,0.00492493997048
168.0,0.012024705341,0.000751655735527,0.0143135567427,0.00100443581405,0.0181907751891,0.00345529696568,0.0250542993949,0.00151887084868
208.0,0.0119817200696,0.000801303663726,0.0126032653912,0.000773379904836,0.0233211578153,0.00387619081704,0.0370830790855,0.00264214955385
256.0,0.0120817189926,0.000916895524851,0.0121447506986,0.00157309199249,0.0201557527479,0.0056080735099,0.0292508757436,0.0109497726002
