#Clients,Mean Queue Size - 8 workers,Std Queue Size - 8 workers,Mean Queue Size - 16 workers,Std Queue Size - 16 workers,Mean Queue Size - 32 workers,Std Queue Size - 32 workers,Mean Queue Size - 64 workers,Std Queue Size - 64 workers
4.0,0.0,0.0,0.0,0.0,3.78513592998e-05,5.3529905676e-05,0.0,0.0
20.0,0.409903769217,0.0249526905586,0.740579223495,0.0421754730304,0.942786092264,0.10320928673,0.928288198811,0.119325438517
32.0,2.03119339157,0.0261038887286,1.05142516964,0.121668915333,1.23228410421,0.0777777629662,1.34885135885,0.0753541621626
60.0,13.8670982722,0.0277467742644,2.89135606869,0.0576748094658,2.40646077188,0.109204778732,2.41112312077,0.149075565102
88.0,27.8367824158,0.017399018307,12.766949766,0.0793850910047,2.75965697042,0.0851468277586,2.76502694836,0.402812115376
112.0,39.613017115,0.023302282684,24.5228100201,0.175915832882,4.60003122605,0.289463778071,3.8977216989,0.479934002453
128.0,47.5863340899,0.0152648905056,31.6639676109,0.365413536009,7.79000622396,0.378442159697,3.96599387262,0.563973208159
168.0,67.6947818049,0.0180023148708,51.5035469565,0.245548356488,22.1111224202,0.877325340718,6.03594484167,0.242976806757
208.0,87.5270125959,0.0199401925915,71.7965179949,0.20961021232,38.6945139012,0.154511466704,8.07422000707,0.680554041274
256.0,111.515641736,0.0249876363113,95.5833877865,0.139373313519,59.8627099326,1.53546620042,17.5120163023,1.68739733362
