#Clients,Mean Wait-In-Queue Time - 8 workers [ms],Std Wait-In-Queue Time - 8 workers,Mean Wait-In-Queue Time - 16 workers [ms],Std Wait-In-Queue Time - 16 workers,Mean Wait-In-Queue Time - 32 workers [ms],Std Wait-In-Queue Time - 32 workers,Mean Wait-In-Queue Time - 64 workers [ms],Std Wait-In-Queue Time - 64 workers
4.0,0.013991516482,0.000129200090866,0.0138300100771,9.10146487734e-05,0.0146967715969,0.000264577022141,0.0151452014786,0.000197849928292
20.0,0.0846405724681,0.00229046581262,0.0469784744475,0.00197502596093,0.0567033697969,0.00434901302255,0.0571607005614,0.00353658606054
32.0,0.804314044324,0.00622994774196,0.0643446587241,0.00287170023875,0.0686191456784,0.00234294405026,0.0714524329116,0.00193326907855
60.0,4.24533923495,0.0315940912698,0.700822430051,0.0101073710931,0.135095229438,0.00428306792492,0.136788250392,0.00523451221896
88.0,7.92249200497,0.0471977922759,2.17826160887,0.0157617931985,0.323254157643,0.0249500341096,0.166451266808,0.00885263689158
112.0,11.0747956025,0.0903525446299,3.8791820066,0.0725582969378,0.724309623957,0.0473793158046,0.201518522245,0.0184674501777
128.0,13.0092350051,0.214483646769,4.72888857496,0.114819616461,1.25701365983,0.0585167057113,0.205078533152,0.0116294320784
168.0,18.3921623639,0.0765970766531,7.73365866217,0.0624774474904,3.19062296093,0.141377013891,0.58823183903,0.0293861843805
208.0,23.3067929053,0.350896390451,10.4088192998,0.131040903364,5.19506267251,0.0692965850548,0.839968358939,0.0312106891918
256.0,30.7255554186,0.120034611686,13.8159103074,0.0532439177191,7.6153924555,0.059255251151,2.01917002111,0.146267711329
