#Client	MNT	WIQ	PrP	SST	PsP	RspT	RespT_std
4	0.018122198	0.0138300101	0.0124650609	1.9687497068	0.0119306793	2.0325831658	0.0105618005
20	0.0160336624	0.0469784744	0.0153636509	1.9359626002	0.0105847478	2.0447949696	0.0048324578
32	0.0177975898	0.0643446587	0.0164625707	2.069049657	0.0105976259	2.1990019843	0.075192812
60	0.0210896389	0.7008224301	0.0333590081	2.3615288266	0.0123303525	3.1490235653	0.0641783687
88	0.0123980864	2.1782616089	0.023837654	2.109215363	0.0103658165	4.3580998361	0.0239210664
112	0.013410089	3.8791820066	0.0293386372	2.1466761492	0.0103220363	6.0969073826	0.1188492951
128	0.0113349176	4.728888575	0.0210667873	2.1090154392	0.0103049993	6.9023346051	0.1442636215
168	0.0143135567	7.7336586622	0.0327342638	2.1664470395	0.0105346696	9.9795932808	0.0733151602
208	0.0126032654	10.4088192998	0.022849284	2.15722451	0.010287321	12.6260577181	0.1693854967
256	0.0121447507	13.8159103074	0.028194989	2.1713894406	0.0104156525	16.0573739834	0.0635630031
