#Clients,Mean Post-Processing Time - 8 workers [ms],Std Post-Processing Time - 8 workers,Mean Post-Processing Time - 16 workers [ms],Std Post-Processing Time - 16 workers,Mean Post-Processing Time - 32 workers [ms],Std Post-Processing Time - 32 workers,Mean Post-Processing Time - 64 workers [ms],Std Post-Processing Time - 64 workers
4.0,0.0119080556034,0.000108417455687,0.0119306792958,9.6804915928e-05,0.0100987265686,4.58298169913e-05,0.0100541706135,9.23051418946e-05
20.0,0.00988094413088,0.000274807274303,0.0105847478138,0.000249128166557,0.0116179719566,0.000201907528553,0.0113483730057,0.000418504481319
32.0,0.0105223661526,0.000111622287468,0.0105976258985,0.000182569072503,0.0107644503147,0.000228845282123,0.0108415462641,0.000131384373036
60.0,0.0102970033093,0.000219262520347,0.0123303525485,0.000360661908501,0.0116971998807,0.000191909745342,0.011463395488,0.00024936037523
88.0,0.0104239506866,0.000152246302392,0.0103658164645,0.000157114999437,0.0115576109565,0.000378265002233,0.011063136925,8.60586809613e-05
112.0,0.0104290518215,0.000254855735045,0.0103220362711,0.000473806263283,0.0114393337178,0.000209602763444,0.0107989328217,0.000402288639867
128.0,0.0105246850086,0.000151297077157,0.0103049993072,0.000227591354823,0.0116200777247,0.000493967518457,0.0104527493603,0.000234559925464
168.0,0.0105668281905,0.000282715916699,0.0105346695665,6.41567147812e-05,0.0118552380084,0.000754214543484,0.0107286701387,0.000264023513978
208.0,0.0104914603327,9.08885577884e-05,0.0102873209634,0.000208514686712,0.0122975674655,0.000168347681884,0.0110897522677,0.000388235829693
256.0,0.0106120742353,0.000121177376266,0.0104156524772,0.000127656768575,0.0123232550485,0.000597627811804,0.0111053783328,0.000529118228796
