Time [s],Beginning of Time Timestamp - rep1,Beginning of Time Timestamp - rep2,Beginning of Time Timestamp - rep3,Mean Response Time [s] - rep1,Mean Response Time [s] - rep2,Mean Response Time [s] - rep3,Mean NetThread Processing Time [s] - rep1,Mean NetThread Processing Time [s] - rep2,Mean NetThread Processing Time [s] - rep3,Mean Waiting in Queue Time [s] - rep1,Mean Waiting in Queue Time [s] - rep2,Mean Waiting in Queue Time [s] - rep3,Mean Worker Pre-Processing Time [s] - rep1,Mean Worker Pre-Processing Time [s] - rep2,Mean Worker Pre-Processing Time [s] - rep3,Mean Server Service Time [s] - rep1,Mean Server Service Time [s] - rep2,Mean Server Service Time [s] - rep3,Mean Worker Post-Processing Time [s] - rep1,Mean Worker Post-Processing Time [s] - rep2,Mean Worker Post-Processing Time [s] - rep3,Mean Queue Size - rep1,Mean Queue Size - rep2,Mean Queue Size - rep3
0,49759874155112,49990096632712,50220958743212,1.67905353213,1.54715331921,1.42236839637,0.0278039403621,0.026290430791,0.0215101594248,0.428826659567,0.388668502825,0.327276617693,0.0205784522542,0.0260077330508,0.014030134417,0.975190095847,0.91323795904,0.878965864333,0.226654384097,0.192948693503,0.180585620506,1.8555200568,2.0886299435,1.99437324164
1,49759874155112,49990096632712,50220958743212,1.40238250825,1.1256471932,1.1403390373,0.00522663366337,0.00499042527339,0.00977434475806,0.220485049505,0.26720945322,0.258899571573,0.00396072607261,0.00443844471446,0.00426156754032,1.0842750165,0.787809793439,0.801397681452,0.0884350825083,0.0611990765492,0.0660058719758,1.81716171617,1.98201701094,2.04813508065
2,49759874155112,49990096632712,50220958743212,1.67587517186,1.23265343112,1.20079409459,0.00729296401132,0.00437692509167,0.00909456493337,0.323965183987,0.268276217915,0.273076718056,0.00369498584715,0.0271024358303,0.00345931539065,1.24806959159,0.903216238869,0.867470786517,0.0928524464214,0.0296816134102,0.0476927096943,2.49737161342,1.92299633316,1.95270446825
3,49759874155112,49990096632712,50220958743212,0.993273851513,0.843024755573,0.998678881988,0.00511774439364,0.00364579585452,0.00450109231099,0.132032157631,0.106092100117,0.125360633969,0.00316488134117,0.00431208447399,0.00274971085886,0.805961376007,0.686971001173,0.818472306704,0.0469976921402,0.0420037739539,0.0475951381452,2.13324624428,2.35901447008,2.26686656672
4,49759874155112,49990096632712,50220958743212,1.17878463136,0.944234455668,0.901736097963,0.00975599688474,0.0118799775533,0.00530209919737,0.177896703011,0.1040932211,0.100218872196,0.00579106957425,0.00295438832772,0.00294959868286,0.94246344756,0.779932098765,0.747755361185,0.0428774143302,0.0453747699214,0.045510166701,1.92757009346,2.01705948373,2.30500102902
5,49759874155112,49990096632712,50220958743212,1.10282407592,0.929020959357,0.925708834081,0.0110683316683,0.00787251890359,0.00697883408072,0.142518581419,0.113107443289,0.137457533632,0.00289413086913,0.00479924385633,0.00296647982063,0.899892282717,0.766695085066,0.738872085202,0.0464507492507,0.036546668242,0.0394339013453,2.01873126873,2.13728733459,2.24461883408
6,49759874155112,49990096632712,50220958743212,1.09279552276,0.943549384345,0.900136452328,0.00571675837919,0.00593920404573,0.00524407982262,0.121636743372,0.125484674582,0.0827359423503,0.00472621310655,0.00492445030783,0.00450569844789,0.91081008004,0.752048438874,0.758075033259,0.0499057278639,0.0551526165347,0.0495756984479,2.11705852926,2.41864555849,2.17073170732
7,49759874155112,49990096632712,50220958743212,1.08505831617,1.00612242315,0.946848227876,0.00990970648816,0.00560630650995,0.00472448358339,0.133153218332,0.134439511754,0.084914633616,0.00308372811535,0.00577167721519,0.00287008045227,0.874119850669,0.802636256781,0.815976929767,0.0647918125644,0.0576686708861,0.0383621004566,1.99665293512,2.40009041591,2.17177647315
8,49759874155112,49990096632712,50220958743212,0.912230762565,0.970054166667,0.856342370027,0.00580266464471,0.00903686936937,0.00349783203536,0.122900259965,0.142901531532,0.0809904230688,0.00454178942808,0.00321157657658,0.00417046937487,0.737104549393,0.758537567568,0.740738055146,0.0418814991334,0.0563666216216,0.026945590402,2.32279029463,2.24797297297,2.30393601347
9,49759874155112,49990096632712,50220958743212,1.13280819202,0.837983276587,0.951321900196,0.00961544482129,0.0056687762868,0.0040549139246,0.188640647013,0.119031444022,0.0823153628241,0.00674990868771,0.00322459443221,0.00262673785138,0.872526715367,0.673493891448,0.835270037045,0.0552754761284,0.0365645703986,0.0270548485509,2.1828854683,2.45563789305,1.70494661146
10,49759874155112,49990096632712,50220958743212,0.997421687384,0.972658854668,0.812163640511,0.00644194657498,0.00475498075072,0.0113794023723,0.0991007405448,0.150390086622,0.105820506387,0.00296458608834,0.0032406159769,0.00451630930657,0.836524252843,0.767456039461,0.639784785584,0.052390161333,0.0468171318576,0.0506626368613,1.81063210791,2.36862367661,1.88298357664
11,49759874155112,49990096632712,50220958743212,1.06463136399,0.948776931844,0.965511801802,0.0118604675058,0.00416186459995,0.00747536036036,0.108215951708,0.146339776613,0.124256621622,0.00782360647316,0.00656754046045,0.00617376126126,0.899818366298,0.738197469797,0.772093783784,0.036912972001,0.0535102803738,0.0555122747748,1.65733367583,2.36927285161,2.16756756757
12,49759874155112,49990096632712,50220958743212,1.0356780915,1.00039638205,0.978353088102,0.0104655424837,0.0039020260492,0.00427593097184,0.128421202614,0.129904727448,0.147243324251,0.00496810457516,0.00329081041968,0.00312325158946,0.837598091503,0.799754558611,0.766770663034,0.0542251503268,0.0635442595273,0.0569399182561,2.03712418301,2.48263386397,2.19777475023
13,49759874155112,49990096632712,50220958743212,1.13544832251,0.974433309161,0.999300678119,0.0136916937229,0.00766209813875,0.00444839511754,0.140276758658,0.128812448634,0.121545614828,0.00308909632035,0.00972001450326,0.00325216998192,0.934622267316,0.788769736524,0.827578458409,0.0437685064935,0.0394690113609,0.042476039783,1.90016233766,2.18322455886,2.42631103074
14,49759874155112,49990096632712,50220958743212,1.13245739537,0.824930292117,0.937992705029,0.00607782687809,0.00434253701481,0.00735922066153,0.123819235768,0.102823109244,0.122020231083,0.00296391993761,0.00444655862345,0.00291889442682,0.919962542241,0.667355682273,0.755537879474,0.0796338705485,0.045962404962,0.0501564793838,2.13517026254,2.23269307723,2.16946080652
15,49759874155112,49990096632712,50220958743212,1.11451186618,0.894668213137,0.879791553679,0.00452083115525,0.00354494717501,0.0153218492998,0.13972869838,0.105793132751,0.122642898422,0.00511194458965,0.00270353697749,0.00429148699711,0.918051097752,0.743120004593,0.690199733274,0.0470992943021,0.0395065916399,0.0473355856857,2.10167276529,2.37505741847,2.05245610136
