Time [s],Beginning of Time Timestamp - rep1,Beginning of Time Timestamp - rep2,Beginning of Time Timestamp - rep3,Mean Response Time [s] - rep1,Mean Response Time [s] - rep2,Mean Response Time [s] - rep3,Mean NetThread Processing Time [s] - rep1,Mean NetThread Processing Time [s] - rep2,Mean NetThread Processing Time [s] - rep3,Mean Waiting in Queue Time [s] - rep1,Mean Waiting in Queue Time [s] - rep2,Mean Waiting in Queue Time [s] - rep3,Mean Worker Pre-Processing Time [s] - rep1,Mean Worker Pre-Processing Time [s] - rep2,Mean Worker Pre-Processing Time [s] - rep3,Mean Server Service Time [s] - rep1,Mean Server Service Time [s] - rep2,Mean Server Service Time [s] - rep3,Mean Worker Post-Processing Time [s] - rep1,Mean Worker Post-Processing Time [s] - rep2,Mean Worker Post-Processing Time [s] - rep3,Mean Queue Size - rep1,Mean Queue Size - rep2,Mean Queue Size - rep3
0,34522258921912,34754133803312,34989357960812,10.6410829142,8.92258712052,9.07095547422,0.0293573594675,0.0369273689052,0.0390616486314,8.02686712278,6.49647695492,6.82307507957,0.025861464497,0.048417525299,0.0274018777849,2.00355373521,1.77626085557,1.7371624443,0.555443232249,0.564504415823,0.444254423934,24.4223372781,22.6830726771,24.8345003183
1,34522258921912,34754133803312,34989357960812,5.42228630942,4.01545116697,5.70188766062,0.00805056274147,0.00543413125873,0.00821288737717,4.13446497564,2.96304797526,4.39643155707,0.00432161935159,0.00325246359465,0.00309652305367,1.21425540064,1.00320923599,1.23381324641,0.0611937510499,0.0405073608618,0.060333446712,23.4575844112,21.092160383,25.2815570673
2,34522258921912,34754133803312,34989357960812,5.6416638784,3.85838015139,5.15307432815,0.00344297535528,0.00466654331371,0.00631143917963,4.33034374888,2.88499589571,3.88730956506,0.00252750494693,0.00343404541632,0.0153457036775,1.24391779097,0.93110450799,1.17197171146,0.0614318582479,0.0341791589571,0.0721359087694,23.7688433171,21.6671152229,22.9128359264
3,34522258921912,34754133803312,34989357960812,5.40015142008,3.81199466036,5.58151182167,0.00350104029062,0.00331155795877,0.00333187510436,4.1516039465,2.86937610679,4.32069764568,0.00231324306473,0.00233154782021,0.00221838370346,1.20515756275,0.890442176411,1.2129325096,0.0375756274769,0.0465332713755,0.0423314075806,24.6913804491,21.7360594796,24.7605610286
4,34522258921912,34754133803312,34989357960812,6.36761500961,3.217711574,5.86497911148,0.00481051895859,0.0032616663867,0.00444462699078,4.9694978333,2.36480495548,4.55091951383,0.00226653852874,0.00250661851167,0.00342858340319,1.35204693343,0.817019569965,1.27462591785,0.0389931853923,0.0301187636486,0.0315604694049,25.2198147825,21.0880228456,25.2925398156
5,34522258921912,34754133803312,34989357960812,6.43887372109,4.26699468371,5.14871109745,0.00345951296426,0.00345015141319,0.00601896400351,5.05458670287,3.21493578398,3.92846964004,0.00349898388227,0.00238149394347,0.00351014925373,1.34269943938,1.01071699192,1.16321411765,0.0346290819902,0.0355102624495,0.0474982265145,26.0674491941,23.1424966353,23.8458296752
6,34522258921912,34754133803312,34989357960812,6.23588802395,5.25291479665,5.80120224095,0.00330949277915,0.00336125969299,0.00342006095375,4.86600258894,4.08726331698,4.46050557548,0.00348369144065,0.00237488526666,0.00229790247401,1.32780582952,1.12539696154,1.29805075296,0.0352864212751,0.0345183731603,0.0369279490857,25.7800281789,24.7602468745,24.693079957
7,34522258921912,34754133803312,34989357960812,6.23019370331,4.65560560637,5.82872522189,0.00316282461757,0.00338753387534,0.00482581360947,4.86669669157,3.56222899729,4.43007220784,0.00214589114194,0.00251026422764,0.00496801035503,1.31422399502,1.0467745935,1.33102744083,0.0439643009605,0.0407042174797,0.0578317492604,26.2050871576,22.8956639566,24.5665680473
8,34522258921912,34754133803312,34989357960812,5.76866089092,4.84225595692,5.46561116425,0.00308751693767,0.00331007456504,0.00344910949868,4.47312484756,3.7234313836,4.25182709433,0.00227564363144,0.00239357083679,0.0024554914248,1.25610193089,1.07903872411,1.16822074538,0.034070951897,0.0340822038111,0.0396587236148,24.789295393,23.7035625518,24.8141490765
9,34522258921912,34754133803312,34989357960812,5.67516961144,5.69075589295,5.94642427542,0.0087292673497,0.00355803739921,0.00469733623723,4.36528345254,4.43224678332,4.64263365723,0.00653027256911,0.0039473837708,0.00374613838164,1.25290978156,1.21373381369,1.25992811191,0.0417168374251,0.0372698747641,0.0354190316636,24.6197564276,24.4177388917,24.9594571955
