Time [s],Beginning of Time Timestamp - rep1,Beginning of Time Timestamp - rep2,Beginning of Time Timestamp - rep3,Mean Response Time [s] - rep1,Mean Response Time [s] - rep2,Mean Response Time [s] - rep3,Mean NetThread Processing Time [s] - rep1,Mean NetThread Processing Time [s] - rep2,Mean NetThread Processing Time [s] - rep3,Mean Waiting in Queue Time [s] - rep1,Mean Waiting in Queue Time [s] - rep2,Mean Waiting in Queue Time [s] - rep3,Mean Worker Pre-Processing Time [s] - rep1,Mean Worker Pre-Processing Time [s] - rep2,Mean Worker Pre-Processing Time [s] - rep3,Mean Server Service Time [s] - rep1,Mean Server Service Time [s] - rep2,Mean Server Service Time [s] - rep3,Mean Worker Post-Processing Time [s] - rep1,Mean Worker Post-Processing Time [s] - rep2,Mean Worker Post-Processing Time [s] - rep3,Mean Queue Size - rep1,Mean Queue Size - rep2,Mean Queue Size - rep3
0,30018737839405,30259113906705,30497541155105,6.89233060563,9.69481712062,8.63840707511,0.0255395584363,0.027359742592,0.0567941809792,3.19738140571,3.79038940437,3.50320412715,0.0759093781649,0.0529024244238,0.0268012304537,2.95700954021,5.19488677043,4.2772703153,0.636490723111,0.629278778809,0.774337221225,20.3647964351,18.7961688117,17.2801845681
1,30018737839405,30259113906705,30497541155105,7.43710383997,7.76172757954,8.44566403427,0.013588592545,0.00606380734751,0.00422002235053,3.38124498715,3.46777546142,3.32233834979,0.00365506105398,0.00392167340482,0.0126435835351,3.98615933483,4.12517410793,5.06163084373,0.0524558643959,0.158792529443,0.0448312348668,14.8142673522,15.2095271577,17.4620972248
2,30018737839405,30259113906705,30497541155105,9.18343625954,10.4789631898,10.033070485,0.00455202290076,0.0067359229604,0.00365217965654,4.07957780534,4.63182187838,4.31940007549,0.00374582061069,0.0042883142177,0.00231379505567,5.0502814313,5.78015710885,5.6696847141,0.0452791793893,0.0559599653755,0.038019720702,13.9400763359,12.9521748539,15.7507076807
3,30018737839405,30259113906705,30497541155105,9.59590368581,10.2430187356,9.90438387328,0.00362241903739,0.0112553065134,0.00633529622338,4.32926974414,4.69023078544,4.52228002506,0.00221127214171,0.00366093869732,0.00425187041346,5.238430399,5.51595505747,5.3428123322,0.022369851494,0.0219166475096,0.0287043493825,12.9316514582,13.1507662835,12.9126543762
4,30018737839405,30259113906705,30497541155105,7.0832631017,9.47656305865,9.56350119863,0.0113636618239,0.00534699226853,0.00766607686454,3.0773680203,4.30839428625,4.20908850837,0.00276630491861,0.00682986988497,0.00553708143075,3.91020525118,4.93524207053,4.95453027017,0.0815598634693,0.220749839713,0.386679261796,15.3532294766,14.6271921554,16.6512557078
5,30018737839405,30259113906705,30497541155105,10.3424000993,11.1756575584,9.58296107724,0.00680984908658,0.00426272259596,0.00724093495935,4.68806115965,5.22629161061,4.44100343496,0.00208496822875,0.00450563909774,0.00238558943089,5.62341266878,5.86709891175,5.10738184959,0.0220314535346,0.0734986743174,0.0249492682927,11.4483717236,13.5407597942,14.7808943089
6,30018737839405,30259113906705,30497541155105,11.0249399572,9.47316782919,11.1513889674,0.00414073569482,0.0044208574345,0.00392118178249,5.13177255742,4.36947931269,5.14144656459,0.00229223433243,0.00231269139163,0.00228343148803,5.84382425068,5.07443883974,5.97843458971,0.042910179058,0.0225161279347,0.025303199843,12.728298949,12.5782579109,13.4905771496
7,30018737839405,30259113906705,30497541155105,10.0680785106,9.81065257843,10.8464690637,0.00385452611219,0.00389532996754,0.00329888446215,4.6864167118,4.54792544176,4.9077699004,0.00237558994197,0.00359453660296,0.00226141434263,5.3474596325,5.20500238009,5.88004914343,0.0279720502901,0.0502348900108,0.0530897211155,13.7448742747,13.306707537,14.1914342629
8,30018737839405,30259113906705,30497541155105,10.1444346475,10.1833879396,10.9700613109,0.00428868460955,0.00390804618117,0.00329466292135,4.77261658453,4.75573776199,5.17012938202,0.00225339272176,0.00246001776199,0.00226284644195,5.34333822972,5.39349815275,5.77075784644,0.0219377558757,0.0277839609236,0.0236165730337,13.16641395,13.9779751332,12.4850187266
9,30018737839405,30259113906705,30497541155105,10.7900522941,10.5578416009,11.0243547115,0.00441866666667,0.00357831834037,0.00507642307692,5.02955523529,4.95977646411,5.16973921154,0.00242433333333,0.00236133651551,0.0025445,5.72561819608,5.56584540114,5.81874976923,0.0280358627451,0.0262800807784,0.0282448076923,13.101372549,12.8222874977,13.7725
